Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	0	203	212	233	16	173	290	0	0	25	8	140	67	0	95	17	0	14
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	75	153	187	451	7	57	506	155	91	133	158	290	0	1	182	23	0	0
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	81	169	207	411	8	73	417	135	30	102	128	199	0	2	141	18	0	0
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	175	42	128	150	38	148	49	6	25	83	140	41	32	28	12	23	19	8
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	95	33	196	228	26	210	64	17	70	35	102	30	82	23	43	16	16	17
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	131	67	155	160	89	161	51	1	12	62	133	43	28	21	47	25	5	11
0bfebf9f-c779-e57d-e050-11ac0d487827	98	183	254	299	141	33	426	84	27	61	83	246	0	0	197	20	0	5
0bfebf9f-c77d-e57d-e050-11ac0d487827	0	66	704	1042	0	0	222	0	119	37	382	434	270	0	55	62	0	71
0bfebf9f-c77f-e57d-e050-11ac0d487827	41	29	160	232	209	164	187	315	136	400	222	180	0	0	231	30	0	11
0bfebf9f-c781-e57d-e050-11ac0d487827	159	77	178	124	61	111	45	2	63	88	102	25	65	27	34	20	12	13
0bfebf9f-c783-e57d-e050-11ac0d487827	108	75	164	159	59	171	51	12	16	108	128	56	69	19	38	25	15	12
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	53	134	192	431	4	125	452	146	28	149	132	208	0	0	158	20	0	0
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	98	144	244	404	15	69	427	107	18	99	134	207	0	2	137	23	0	0
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	54	84	228	179	52	196	46	0	25	50	184	57	43	41	32	17	11	14
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	428	0	0	0	0	0	0	1	0	0	0	0	26	0	0	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	318	197	148	598	0	0	19	156	174	91	11	0	107	28	20	35	10
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	24	158	250	161	324	149	31	234	43	74	132	70	15	57	26	71	15	24
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	424	7	6	1	0	10	4	1	0	0	0	0	28	0	0	0	0	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	366	42	0	0	3	41	15	1	0	16	0	0	27	0	2	0	0	0
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	108	295	39	0	0	33	119	5	0	273	0	91	79	42	2	4	0	12
0cd60b96-eb2d-4687-9709-d1455ec45de7	118	99	60	64	63	196	13	50	9	26	60	0	20	0	34	36	9	8
0cdbabf2-c623-11e3-bf01-24c6515278c0	225	93	36	24	83	121	18	0	44	17	53	5	11	0	9	0	0	16
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	402	6	0	0	1	22	1	7	0	0	0	0	27	0	2	0	0	0
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	206	0	63	53	124	187	0	35	0	0	54	22	0	77	0	0	8	0
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	210	537	131	409	0	38	49	128	63	255	222	46	0	91	17	0	11
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	278	61	14	24	11	109	34	0	0	0	5	0	21	0	5	20	0	0
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	353	42	0	18	9	40	26	5	14	14	9	0	13	13	2	1	0	0
0d569bd5-418d-4d72-87ca-8e14668c2119	328	45	9	31	0	60	13	0	0	0	1	6	36	1	4	3	0	0
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	300	11	56	18	0	101	77	0	0	4	0	5	23	0	4	0	16	0
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	194	90	23	57	0	159	5	52	1	31	102	0	0	10	0	0	14	5
0dd39eca-c623-11e3-bf01-24c6515278c0	215	74	5	7	0	159	51	0	1	4	0	8	21	0	5	3	7	0
0e1e628b-823a-4861-aa95-bed2fada7349	439	6	0	0	0	0	6	2	0	0	0	0	22	0	0	0	0	0
0e54cea2-d568-4a33-b9db-b698844e6ad9	181	0	86	2	30	208	80	26	13	104	20	0	6	0	1	4	22	57
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	85	93	138	29	164	203	5	204	29	29	36	0	40	102	16	0	1	44
0e6ca8dc-0f31-4675-95b1-5920576daeff	318	1	26	35	26	113	30	6	0	5	6	0	19	2	10	9	2	4
0e7ac212-0469-4f17-9432-205ab1831257	271	56	11	13	12	123	4	0	0	0	58	3	0	0	5	3	4	0
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	287	61	0	8	1	98	34	1	0	0	0	10	31	0	2	0	0	0
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	15	162	60	0	251	265	12	39	0	0	41	120	0	0	19	4	81	0
0ead45d8-d785-4404-8319-2ef951e02e03	0	133	474	0	666	31	31	5	171	367	278	283	85	22	24	62	48	49
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	37	288	69	0	0	10	109	0	0	732	0	140	169	0	21	10	0	19
0ed63d84-d3fe-4289-9255-35f4a03b703b	435	9	0	7	0	0	1	0	0	0	2	0	23	0	0	2	3	0
0eeafcd6-c623-11e3-bf01-24c6515278c0	220	98	25	8	0	130	33	2	0	8	22	18	29	7	12	0	1	0
0ef92ff8-829f-425a-91d8-c594b6e22a2b	34	165	21	58	158	239	35	69	0	89	74	69	47	29	10	5	28	16
0efb6e20-236d-4640-9373-6fc03e67d090	430	0	0	0	0	0	0	1	0	0	0	0	25	0	0	0	0	0
0efee3f3-313b-44eb-b3b0-af975a1ded82	293	22	11	44	19	96	68	19	46	27	0	0	8	0	3	73	0	0
0f53e757-1823-409f-a0ea-249270728e15	414	0	0	235	180	0	4	26	0	0	9	36	0	10	0	7	17	34
0f6b355e-3898-4be6-be97-da0c3840a4ed	126	146	0	15	94	184	7	2	48	44	45	15	0	35	2	4	0	2
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	48	51	78	44	65	284	27	183	46	54	48	0	15	0	15	17	29	90
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	350	56	24	11	0	33	28	0	2	9	0	2	26	16	0	0	0	0
0fbd94b1-bb34-4620-841b-861a0b5e0c12	180	102	54	92	99	131	5	80	61	0	31	47	11	10	26	1	0	55
