Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
0bfebf9f-c77d-e57d-e050-11ac0d487827	0	36	789	1086	0	0	269	0	54	136	343	429	257	52	13	0
0bfebf9f-c77f-e57d-e050-11ac0d487827	55	0	122	253	223	167	200	306	427	145	183	177	0	289	0	0
0bfebf9f-c781-e57d-e050-11ac0d487827	181	74	198	127	60	86	54	1	97	69	108	13	59	40	22	17
0bfebf9f-c783-e57d-e050-11ac0d487827	133	69	176	166	56	145	62	7	118	26	131	46	62	46	19	23
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	66	146	146	405	15	104	518	133	151	33	103	216	0	196	0	0
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	107	162	211	381	27	44	489	94	96	28	108	211	0	170	0	0
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	86	87	246	181	46	162	60	0	55	34	207	48	34	38	14	15
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	423	0	0	0	0	0	0	2	0	0	0	0	30	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	335	198	186	662	5	0	27	179	148	92	18	0	33	10	19
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	42	159	259	182	334	141	37	239	78	50	139	70	9	30	67	22
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	422	5	8	0	0	9	3	2	0	0	0	0	32	0	0	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	367	44	0	0	2	34	15	2	18	0	0	0	30	1	0	0
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	112	294	23	0	0	28	137	11	307	0	0	100	74	2	14	0
0cd60b96-eb2d-4687-9709-d1455ec45de7	140	110	58	62	63	171	15	47	26	11	60	0	20	42	31	9
0cdbabf2-c623-11e3-bf01-24c6515278c0	241	111	27	27	88	96	22	0	16	43	60	0	10	10	0	4
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	402	7	0	0	0	19	0	8	0	0	0	0	30	2	0	0
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	234	0	68	69	125	180	3	37	0	0	79	14	0	0	0	20
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	205	569	145	442	0	53	38	65	137	208	212	27	106	0	0
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	286	68	12	20	10	98	40	0	0	0	4	0	23	6	15	0
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	359	45	0	17	10	36	28	5	14	14	11	0	17	3	0	0
0d569bd5-418d-4d72-87ca-8e14668c2119	334	50	12	31	0	48	15	0	0	0	0	5	38	4	0	0
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	316	20	52	6	0	80	93	0	4	0	0	2	22	4	0	16
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	215	105	13	58	0	128	7	47	31	0	124	0	0	0	0	15
0dd39eca-c623-11e3-bf01-24c6515278c0	234	89	0	0	0	134	60	0	3	1	0	7	20	6	0	6
0e1e628b-823a-4861-aa95-bed2fada7349	436	5	0	0	0	0	5	3	0	0	0	0	26	0	0	0
0e54cea2-d568-4a33-b9db-b698844e6ad9	204	0	71	0	34	191	86	24	119	10	4	0	5	0	51	41
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	113	100	154	36	171	197	5	216	33	30	35	0	37	18	60	13
0e6ca8dc-0f31-4675-95b1-5920576daeff	330	2	25	33	27	101	34	5	5	2	3	0	21	11	9	4
0e7ac212-0469-4f17-9432-205ab1831257	285	67	5	12	9	102	5	0	0	0	68	0	0	6	0	4
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	299	69	0	3	0	82	39	1	0	0	0	8	31	1	0	0
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	44	191	41	0	270	232	19	31	0	0	13	126	0	21	0	81
0ead45d8-d785-4404-8319-2ef951e02e03	0	121	496	17	731	29	36	0	390	175	257	302	72	24	22	57
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	50	230	39	7	0	8	124	0	805	0	0	160	162	19	0	0
0ed63d84-d3fe-4289-9255-35f4a03b703b	435	8	0	8	0	0	0	0	0	1	0	0	27	0	0	3
0eeafcd6-c623-11e3-bf01-24c6515278c0	233	109	25	3	0	112	39	1	9	0	20	18	28	14	0	2
0ef92ff8-829f-425a-91d8-c594b6e22a2b	52	173	11	64	177	233	36	68	91	0	62	85	51	13	0	30
0efb6e20-236d-4640-9373-6fc03e67d090	426	0	0	0	0	0	0	2	0	0	0	0	28	0	0	0
0efee3f3-313b-44eb-b3b0-af975a1ded82	302	19	6	39	18	93	74	15	27	52	0	0	14	4	66	0
0f53e757-1823-409f-a0ea-249270728e15	409	0	0	231	190	0	1	29	0	0	0	74	10	0	28	0
0f6b355e-3898-4be6-be97-da0c3840a4ed	150	159	0	25	100	167	4	1	46	50	52	13	0	2	0	0
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	81	57	67	31	64	261	32	183	60	41	32	0	14	15	93	63
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	358	59	29	10	0	28	31	0	10	3	0	0	29	0	0	0
0fbd94b1-bb34-4620-841b-861a0b5e0c12	199	111	58	97	105	115	5	83	0	58	13	49	14	28	46	4
0fc63b79-7fff-441d-88fc-922d53c787ab	55	76	0	0	249	314	2	245	0	22	0	0	0	14	172	7
10136472-c623-11e3-bf01-24c6515278c0	436	0	0	0	0	1	8	4	0	0	0	0	25	0	0	0
1021b60d-f7b2-43b0-b2cc-f282d619d533	0	187	492	743	135	0	546	0	117	0	98	331	80	74	47	74
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	0	337	106	367	16	89	146	15	46	34	20	0	89	4	4	24
108749d2-5c62-4ef1-92df-aec6941ba53b	365	66	0	0	0	31	42	0	0	6	0	3	10	0	0	3
108b67d4-5d66-46da-8675-6acae643b76f	272	136	0	18	0	49	75	5	44	0	0	11	31	0	10	0
10ad692b-4c3d-42de-9b5e-4968441388b3	297	67	7	18	0	82	51	0	26	0	0	4	25	5	0	3
10bb1a92-901e-4a14-80f4-5e88f997754b	265	39	52	78	19	128	35	0	13	0	65	14	13	8	12	0
10cb8ac6-c622-11e3-bf01-24c6515278c0	147	117	10	39	61	198	9	0	27	27	52	16	17	12	0	0
10d15b7a-16d1-4953-aaef-f193ffa97f42	245	94	22	16	80	94	19	0	0	3	102	52	0	15	0	4
10db2142-c623-11e3-bf01-24c6515278c0	319	26	24	20	39	81	0	3	0	0	47	0	0	0	56	7
110b5f05-ded7-45ec-b0f6-a941c92d77dd	0	0	722	540	981	0	349	272	187	427	0	251	136	443	77	33
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	384	49	0	12	0	13	11	0	3	0	0	1	34	3	0	1
11473a98-d953-45f9-abf5-709b68a4bae8	266	11	8	0	2	168	32	4	8	0	0	0	27	0	5	0
1157a548-6770-4c89-a84c-bcf6f0e96ea8	357	32	5	0	5	47	15	0	9	0	0	5	32	0	0	2
1168944c-5451-4a18-8758-88bf5723bdd9	86	112	53	7	0	279	91	0	8	1	5	15	38	1	0	5
1193a9c4-5aab-4cd7-a690-60c96bd1172d	394	1	0	0	0	32	8	0	11	4	0	0	27	7	0	0
11ae45fb-05f6-425a-9295-d50d13407006	423	0	0	0	0	0	0	2	0	0	0	0	30	0	0	0
120f01d1-8884-4aca-a1cb-36b207b2aa3a	43	355	75	302	71	0	557	17	187	0	0	330	59	33	0	0
122bf0a9-8052-49da-a9d7-0e5de9ab7032	382	47	3	0	0	19	23	1	0	0	0	2	30	0	0	0
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	110	192	57	28	78	150	20	5	21	26	71	26	28	8	0	16
124d5b04-4588-44c3-9c00-61e064cf1bdb	120	120	36	82	61	203	59	69	43	18	10	0	42	12	8	19
126ee433-d345-4cac-882a-c91831a24690	82	313	21	81	0	56	167	5	186	0	0	5	50	2	0	1
127b0f7d-d24e-48b7-ac25-d3f14a43952d	0	320	210	90	0	85	172	0	0	0	60	182	84	21	0	0
12874085-a596-41ae-b4cd-817cb1ebb278	0	340	0	573	526	101	17	2	0	0	79	59	0	9	60	32
