Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	73	488	69	121	210	26	47	31	109	245	125	54	22	97	68	73	27	20	95	17	30	1	7	0	0	83
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	657	112	0	840	113	0	0	27	186	0	223	0	476	54	499	48	58	39	55	28	49	35	8	0	0
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0	576	125	0	852	94	0	0	39	213	0	207	0	457	33	453	52	58	42	50	19	48	33	13	6	0
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	77	115	55	179	161	51	83	3	114	46	0	54	33	43	17	80	0	19	27	0	33	9	19	10	0	0
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	0	1118	149	0	727	80	0	0	42	70	0	227	0	0	0	388	43	33	53	49	34	15	13	4	0	37
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	175	0	39	149	34	1	51	40	234	23	0	42	42	56	12	58	28	6	2	0	8	1	0	6	0	13
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	168	0	31	166	33	14	62	24	178	14	4	35	28	27	14	35	12	6	2	0	6	1	0	7	0	16
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	64	235	202	7	179	8	188	0	18	217	0	64	25	113	17	26	8	17	67	6	6	12	2	2	0	10
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	117	480	141	0	191	8	63	119	160	372	119	63	5	236	0	44	61	28	128	30	35	0	10	0	0	59
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	102	418	147	40	207	13	54	55	117	305	105	55	7	159	0	45	50	21	99	28	27	0	7	0	0	60
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	162	102	72	92	118	35	85	6	117	45	0	35	35	40	7	92	3	18	8	0	36	6	22	11	0	0
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	58	154	62	161	190	33	111	31	51	57	2	60	48	39	15	113	0	15	30	0	33	12	17	11	0	0
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	92	122	65	153	149	69	78	8	115	43	0	34	28	36	0	79	0	20	34	0	37	9	22	9	0	0
0bfebf9f-c779-e57d-e050-11ac0d487827	124	364	157	17	238	84	34	85	116	317	75	38	8	181	0	0	9	24	140	32	31	7	17	0	0	59
0bfebf9f-c77d-e57d-e050-11ac0d487827	0	678	130	0	827	94	0	0	49	187	0	214	0	431	54	496	51	59	40	31	28	59	23	13	0	0
0bfebf9f-c77f-e57d-e050-11ac0d487827	59	259	40	70	88	118	105	196	332	148	240	41	93	159	173	67	17	30	160	54	35	10	2	0	0	51
0bfebf9f-c781-e57d-e050-11ac0d487827	79	73	85	172	167	41	39	46	102	43	0	52	50	33	27	84	0	17	24	0	34	9	21	8	0	0
0bfebf9f-c783-e57d-e050-11ac0d487827	62	108	91	153	150	40	93	3	129	47	0	57	56	57	27	92	0	21	27	0	32	9	21	10	0	0
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	110	452	121	19	189	7	94	67	145	329	113	57	0	163	23	29	37	22	110	37	30	1	11	0	0	66
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	133	410	142	10	239	19	54	43	122	315	88	50	0	164	0	47	46	25	96	30	27	0	7	0	1	60
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	64	107	123	94	208	60	128	0	111	41	0	39	27	51	0	128	0	17	24	16	41	9	16	9	0	0
