MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA
CNCP[3]	8.821403369996261e-09	1.2810871538704305e-06	0.00010299712179403287	4.660586583327131e-11	0.001041725558626247	0.0003516186109134622	0.03028743055026439	0.13497604452073575	0.006694762458877861	4.1726734409053276e-07	0.01778608925153094	5.458321818366585e-05	0.0020099973383378256	0.016803061051527485	0.001336326507787664	0.001059442557737107	0.0001240049763805473	1.894500460252857e-05	1.387591257753229e-06	1.1395221389989275e-05	0.0001563108489314402	0.00013331966793430182	2.1257418417235386e-05	0.015739435130467428	3.5814706300694234e-05	0.0003295607777482701	9.624646413413984e-05
CNCP[4]	1.3325850741097157e-07	1.7551005271343456e-09	3.5363504059660044e-06	6.670698295964783e-08	0.0	7.475422606262327e-08	0.01404866685165409	0.06517417781054974	0.0005689661302542959	0.0	0.03200332401320338	2.073349151032744e-08	8.589921112005072e-05	0.005537515647741107	4.568045942505705e-06	0.0004657441343825042	1.6174899883480975e-07	1.6142162051480115e-11	2.1457820196246757e-07	8.407790785948902e-47	6.596909815925756e-07	9.742241002186348e-07	2.2652485966419858e-06	9.258092298125576e-07	1.380435080555742e-05	1.6410745938202354e-05	3.9654725424043135e-06
CNCP[>4 & <=8]	1.303846038069878e-07	8.684673461706716e-09	7.006492321624086e-47	6.646520846587122e-08	1.7383301553763886e-09	3.582328175433247e-08	7.352286094494793e-05	0.06703720055520535	4.167889263882785e-05	2.598915358476006e-09	0.10391290716826916	7.589323658407921e-09	2.050206269643695e-08	0.0012301810880654385	6.27699442645735e-09	6.514492704565167e-07	9.479565221681696e-09	1.8425082259909687e-09	2.541734131611406e-08	9.80908925027372e-47	1.0803576060425257e-08	7.420198400609479e-08	9.989741158733523e-08	2.5377186574360167e-08	3.9685659442428856e-08	3.417373889647024e-08	4.565362573316634e-08
CNCP[>8]	2.1008029072788758e-07	1.5384702060750043e-07	0.0	1.7409095339204762e-07	9.187577221236865e-10	3.1667077712987935e-08	0.0	2.3027853454928266e-08	3.438041822789728e-08	2.5159687674136675e-07	0.1073731728643179	1.475647779214384e-07	1.4635725946732237e-08	7.92295164586676e-08	1.717288892422175e-08	5.008676087272243e-08	8.823926862078223e-08	0.0	0.0	8.060850404945086e-09	6.20040623289242e-10	5.592895035988477e-09	5.8375474054628285e-09	8.262676303912642e-05	3.1506287548666026e-07	5.1064247212906366e-08	5.367596926930673e-08
OsCN[0]	0.023832664639541465	1.233142648605839e-45	0.010195092022622447	0.00037521918689953343	0.024741522581533833	0.011024075442885585	0.07355558609124273	0.008442839775245561	0.009504613982929684	0.0013234990577475347	0.15630241387656496	0.012506671271301235	0.003967663730203654	0.5616943229362369	0.012601764108030827	0.0024765302744901877	0.005508930981166818	0.006886575286916674	0.015418149462876238	0.0032902305445171513	0.008895772089690605	0.0035572934482182334	0.011116411318791259	0.002159262042386683	0.026165882248854137	0.0062456433090392624	0.03193386453208125
OsCN[1]	0.00023932704485659428	0.05403252370655537	0.01014535302093412	0.017914328348706477	0.024531945007111453	0.0043143471819348635	0.03261263485066593	0.1130398903042078	0.031629889255856504	1.7231663223356007e-05	0.017794840584683697	0.009116102456854831	0.025753755163168534	0.01761451651192374	0.0468206532439217	0.05081865839489183	0.016675875604141764	0.012443179520016126	0.0004887539939954877	0.004546965367626403	0.014691749319229319	0.017840129996329786	0.011943952248489154	0.045902919200016185	0.0037327383170486427	0.00895192361669615	0.005708924688277323
OsCN[2]	4.047390929073913e-09	7.475898077245802e-05	0.00728295989043545	0.00026857315097004173	0.012072099847719073	0.008536936395685188	0.009453381880302914	5.300241347867996e-05	0.006931546534222886	0.0006776402949176941	0.004359799007070251	2.1093646124228373e-05	0.00953861822024919	0.004324548146113471	0.005811069851470734	0.0006684951345516766	0.0009153430422975361	0.001992401740999412	0.00325757936891202	0.0014802639111081884	0.001859674099437143	0.0009675457035831475	0.0021201927599929604	0.004193065444382682	0.003996841174304535	0.006473332057326575	0.003462125349458347
OsCN[3]	3.338996625856794e-09	0.01386395689100027	0.008519575575701311	0.00018792010727338492	0.006624849495710805	0.0006938850173173705	0.0018982535386749078	0.0012462915710057133	0.00619461647171193	0.000583724409690074	8.154756018484477e-05	0.0013485679551030216	0.012777360684995074	0.0011660291963926286	0.0015590487495984462	0.012640765072914704	0.0010672857570187943	0.0004386116748560198	0.00017837098751239511	0.00041704520036315527	0.001127003815322215	0.001979657651273215	0.0006779334617567656	0.0029324426736005195	0.0014084853023530286	0.0020049397824209335	0.00034724797559505306
OsCN[4]	2.7353206446534273e-08	8.643721754197052e-05	0.004889664653455838	1.5473717067191472e-05	0.00428522919130046	0.0010144723091161723	0.0008326869816664839	0.0	0.0014234426057880257	0.001022787279279811	0.0	6.68059700604573e-05	0.003080382885157189	0.0003422015926915023	0.0007477312614791165	1.459350372897461e-05	0.00021139484209811599	0.00015127125890103345	0.0005219960300408526	0.0004706100891053211	0.0011196305917201244	0.00011012077127816156	0.0003211535014682966	0.0004623397674367879	0.0002863531016468457	0.0015900912461211192	0.0004824516964436043
OsCN[>4 & <=10]	1.2331713750840523e-08	0.0025881878020300063	0.014176736655645072	0.0	0.005650677469675429	7.493160199373961e-05	0.00010886681732529269	0.0	0.0018905381164427127	0.004141662507948638	0.0	0.0004066682026397217	0.009449683498824015	0.0	0.0005672109179431572	0.00331523972613752	9.315706323832273e-05	0.0001254557294305414	1.2611686178923353e-46	6.37953134763336e-12	0.0004766043403651565	7.105546046659583e-08	7.369918791368946e-06	0.0011350175684405705	2.229660892822949e-06	6.649474147707224e-05	1.401298464324817e-47
OsCN[>10]	5.004534929020643e-08	0.0	0.0035155980271520094	4.980117443431631e-09	0.00027599617757502416	5.4549653683011454e-11	0.0	0.0	1.291597754996765e-05	0.0018229873985046651	9.879953722702338e-07	5.2790990172935094e-05	0.001759341672386654	5.738511710262628e-10	6.507421839829775e-05	2.954779427000176e-07	0.0	2.6604880333707114e-05	1.247411114775332e-05	1.1937101085379709e-10	0.0002508053519468945	7.122248462110292e-09	6.738174852216617e-07	0.000109849891427507	3.626284552638026e-09	5.115073690831196e-08	0.0
SS[<=2]	7.032363775749673e-08	0.0	0.00010100364160052777	6.487744120953209e-06	0.0	0.0001753769421023321	0.0018268901882572664	0.000986637023743242	0.00013660477680113489	2.910215039229058e-06	0.0014139501469617244	0.00042520061578727564	0.003985850979252064	0.0007847093034472152	0.0008322488572548536	0.00015946283470839263	0.0001206006368420276	0.00010197917990353744	1.8035637913271786e-05	3.357327543199062e-05	0.0002509241593475053	0.0006360768979891818	0.00033864876937514057	0.0006443713099361048	0.0002760962582500781	0.00042039017678916933	0.0006134705320255307
SS[>2 & <=3]	1.7933572555861587e-07	4.203895392974451e-47	3.7639696460445295e-05	1.6660923949363138e-08	0.0	0.001662854476416955	0.00012125666930655986	0.014331997742951207	8.141797596863398e-06	2.5568712965551297e-07	0.0019144359591439298	0.003614615574479103	0.025615017297653857	0.004174645340112656	0.007039584070444107	0.0016665871503905372	0.0006827571493624873	7.633368321443247e-33	0.0	5.605193857299268e-47	0.000653721184207825	0.0008267061783286067	0.0019012729298327714	0.005461222758799522	0.0005596167585846956	0.002573597161304946	0.0007379145071064385
SS[>3 & <=4]	2.2232483657624868e-07	5.286605073706596e-09	0.00020983781689764669	5.078252316437215e-09	4.351489963028143e-08	0.006832423376998618	1.751866171398997e-05	0.05198178335397177	2.205399005106301e-07	5.620333186584503e-07	0.0003775699746803696	0.015490880310535431	0.1241662623076445	0.017229734092248636	0.030096763448020453	0.007066834335676802	0.0028811253602759736	5.929989583819406e-09	2.131368837865466e-06	5.68930719424543e-08	0.00257827677028331	0.0033731570872726022	0.008199283387888522	0.02277680252211809	7.572041234027438e-08	0.010434400036447187	0.0025073792343334846
SS[>4 & <=5]	7.232346399543843e-09	0.004853042836490937	0.04923121433643473	2.090883817196243e-09	1.401298464324817e-47	0.0018070421740412712	0.004949684318188403	0.0036339662638567916	0.019049326948365888	0.0017346428606765229	0.057139077396132054	0.0013415538022861554	0.3240824931114912	0.005339338010082457	0.010708959773182869	0.046656526662311404	0.0026207541185760876	0.004773560344505743	0.0018474231697609867	6.575483271831218e-07	0.02324000588548401	0.0019098976798627985	0.01264961245816778	0.0650428518353965	4.876601997239049e-06	0.0029268573477008886	0.006200658379367354
SS[>5 & <=6]	9.746675379574299e-05	0.004948619221831905	0.24915709279477596	0.005022133280864978	0.018276802371256052	0.0007069120765663683	0.0569615623632987	0.0033480720972875132	0.09392121654236689	0.05291169170470198	0.11845484897494316	0.00035580389201641084	0.014680877621285617	0.03926284546586455	0.0023373452953219954	0.021160026854563512	1.1964918485318777e-07	0.001038193267158931	0.0033220415838026087	2.4220460327342154e-05	0.0038890627305954695	0.00011201229480548136	0.0017015031765866683	0.00018772409108350986	0.012609675518008803	0.004417579469927226	0.008414170471201885
SS[>6 & <=7]	7.354984399299269e-11	0.0039755969695763555	0.07185690136919132	0.00014682290027690656	0.28311144024133683	0.025985660658532056	0.022743484060582447	0.12419875732350193	0.06822346484172158	0.004291643205908713	0.0270910594965585	0.003427557051181793	0.001025559378322214	0.038506966903805735	0.005475066590149708	0.04686389822422825	0.007351542621394561	0.008633450548296605	0.008937833008652939	0.031008984265971522	0.012479156824219614	0.007541675459167016	0.007935649206909721	0.016869018353333792	0.006482004274731262	0.015024154236059531	0.007626317918554774
