BP10MB[0],BP10MB[1],BP10MB[2],BP10MB[3],BP10MB[4],BP10MB[5],BP10MB[>5],BPArm[0],BPArm[1],BPArm[2],BPArm[3],BPArm[4],BPArm[5],BPArm[6],BPArm[7],BPArm[8],BPArm[9],BPArm[10],BPArm[>10 & <=20],BPArm[>20 & <=30],BPArm[>30],CN[0],CN[1],CN[2],CN[3],CN[4],CN[>4 & <=8],CN[>8],CNCP[0],CNCP[1],CNCP[2],CNCP[3],CNCP[4],CNCP[>4 & <=8],CNCP[>8],OsCN[0],OsCN[1],OsCN[2],OsCN[3],OsCN[4],OsCN[>4 & <=10],OsCN[>10],SS[<=2],SS[>2 & <=3],SS[>3 & <=4],SS[>4 & <=5],SS[>5 & <=6],SS[>6 & <=7],SS[>7 & <=8],SS[>8],NC50[<=2],NC50[3],NC50[4],NC50[5],NC50[6],NC50[7],NC50[>7],BoChr[1],BoChr[2],BoChr[3],BoChr[4],BoChr[5],BoChr[6],BoChr[7],BoChr[8],BoChr[9],BoChr[10],BoChr[11],BoChr[12],BoChr[13],BoChr[14],BoChr[15],BoChr[16],BoChr[17],BoChr[18],BoChr[19],BoChr[20],BoChr[21],BoChr[22],BoChr[23],type
257,18,22,5,4,0,10,19,4,7,2,6,1,2,0,1,0,0,2,0,2,0,6,21,29,58,104,2,3,104,62,16,8,6,1,63,31,6,6,2,2,0,2,2,10,36,61,56,45,8,0,1,0,0,0,0,0,8,9,9,3,4,49,7,41,6,2,3,11,2,3,3,3,9,21,1,1,1,1,2,0
304,9,5,0,1,1,2,35,7,2,1,1,0,0,0,0,0,0,2,0,0,2,17,27,6,2,13,2,14,32,4,0,6,3,0,36,8,1,0,0,0,0,0,0,0,9,11,14,22,13,1,0,0,0,0,0,0,3,0,1,3,0,0,0,0,1,0,0,1,1,1,1,0,13,4,11,0,0,0,1,0
273,9,11,4,4,2,13,27,2,5,1,3,2,1,1,0,0,1,0,1,2,0,45,99,83,51,59,113,9,230,42,31,17,56,51,204,44,10,10,4,6,0,2,4,26,168,161,45,34,10,1,0,0,0,0,0,0,3,2,2,0,3,19,56,0,1,3,240,0,0,0,0,0,1,0,0,13,1,4,3,0
250,17,20,6,8,1,14,18,4,9,1,3,1,1,1,1,1,0,3,0,3,3,71,67,46,27,70,52,0,143,54,26,20,36,34,124,51,7,7,3,2,0,1,1,11,74,126,69,46,8,1,0,0,0,0,0,0,2,3,1,1,45,47,2,7,16,2,111,6,1,6,1,5,5,1,1,1,1,2,2,0
275,23,19,3,0,0,2,30,3,5,3,1,1,1,2,0,0,0,2,0,0,2,3,24,23,18,29,7,13,44,20,4,1,11,2,28,16,1,3,0,0,1,1,1,2,6,16,32,39,9,0,1,0,0,0,0,0,6,4,2,6,20,3,4,13,1,1,3,1,10,1,1,1,1,1,1,1,0,0,0,0
317,5,0,0,0,0,0,45,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0,21,5,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,1,2,11,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
262,25,16,3,3,3,4,22,6,6,2,0,1,3,1,0,0,2,3,0,0,12,8,37,32,28,28,1,2,53,61,7,2,0,0,27,16,6,5,0,0,1,0,2,3,17,32,41,42,9,0,0,0,1,0,0,0,3,7,7,1,2,19,3,13,5,9,7,1,2,1,3,12,2,1,1,3,2,4,1,0
307,1,11,1,1,0,1,34,2,8,2,1,0,0,0,1,0,0,0,0,0,0,3,39,15,0,4,1,13,28,3,5,0,0,2,15,12,1,0,0,1,0,0,0,1,9,12,4,21,15,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2,1,0,0,3,0,0,0,2,3,0,0,5,0,1,1,0
319,1,2,0,0,0,0,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,24,1,0,0,0,21,5,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,3,1,9,16,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
265,35,16,2,3,0,1,18,8,10,5,3,1,2,0,0,0,0,1,0,0,0,22,45,27,13,9,0,3,61,25,4,2,0,0,22,12,2,5,1,0,0,0,0,5,2,14,35,52,8,0,0,0,0,1,0,0,3,3,5,3,3,7,4,4,2,3,1,3,0,1,0,2,13,2,3,2,3,2,1,1
