Samples	SBS80A	SBS80B	SBS80C	SBS80D
15895218-c623-11e3-bf01-24c6515278c0	352	94	89	150
15a93657-0521-430a-a816-bf0842374b75	449	3	16	0
15abb2a3-10a2-4e04-8eb9-6eadbd976af0	449	6	6	0
15d597de-d26c-4ce1-b0cb-077e39b55f30	115	611	33	594
15daadb0-6b24-4248-9225-470dc08f1552	421	0	75	56
15dd024e-c0da-461a-84db-d01e60a22210	450	6	6	0
15e097e3-e468-466c-8e57-b59fba90bbf2	444	0	54	0
15e7d981-8c27-4b2b-b4f8-626e22021895	135	886	2119	50
15f90ef0-831b-40a3-98bd-ec226a9e8b26	270	10	404	259
15fd8dc8-c622-11e3-bf01-24c6515278c0	435	14	112	23
1659bae5-3140-4d05-891c-81b48277b2fc	171	1138	704	204
16c6f975-48fd-4cda-946a-777cb922949d	384	0	275	45
16d33e09-2e21-4da2-8e57-e78ce28c4408	132	683	591	414
16d5519e-ecb9-4fc8-81f1-e0e4adf722a8	247	310	191	292
16df7888-2480-4394-8856-d57a6ef371d2	311	676	355	69
170ad241-9e24-469b-b7ca-3fd783a89b21	165	456	379	417
1727e88b-df0a-4af2-9191-8c6061d98ad0	325	181	28	191
172c9864-c26d-4e9b-947a-e8ce761e996d	362	288	45	156
1776f326-b12f-4355-8107-80fa6fcd2159	393	0	145	83
178d0486-cb0d-4979-8bdf-bb3fe99149bd	447	15	2	0
17a66d24-de77-4f2a-a8ad-d2c6a69e7671	450	5	6	0
17de5b12-c623-11e3-bf01-24c6515278c0	292	142	385	246
17ed8831-a261-42d9-8ff3-cf75a6cb2a24	203	655	587	224
183b04f5-107f-496c-8e9a-8263dd00cffa	271	94	326	261
186cacaf-4f20-4ad2-a07a-a7dc942a70b0	387	0	145	68
18ec066e-8510-4921-9e35-45d85fb01e38	417	942	92	0
18f5e75e-c623-11e3-bf01-24c6515278c0	423	100	71	40
18f9240e-7acd-41eb-a154-c2a67a1cbe9b	444	7	20	21
19085f7d-e6a6-406f-bd09-520a27e0283d	412	0	57	70
190eb791-383d-4e27-870d-e470630843e7	292	741	176	230
19233fd1-5229-466e-acf3-5882165758e0	448	7	0	0
1924d200-6929-4eef-8a7f-317f8fbab915	460	10	1	0
199bbb0f-996c-40c1-b06d-2066f04be778	439	16	22	24
19aa8223-ee84-4b5c-b11a-6ca2a2680b3c	434	0	38	29
19b6b9d6-6912-4b85-a4bf-52014bcb170b	418	27	99	53
19c1c97f-a3ec-44a8-8a20-6f97caed1a4f	264	30	571	240
19cd4360-8392-4bc2-ae88-fdc1335d886b	448	0	22	0
19d6cf34-1cd7-4242-a4d1-5d3e11f428aa	460	16	0	0
19def402-fb8d-4b27-90dd-ce9135a3c0a2	448	8	0	0
19fe27d8-c623-11e3-bf01-24c6515278c0	372	0	139	112
1a0ef226-41a5-4b56-9078-4b7834f0c976	334	305	0	192
1a134c18-ced3-4bae-9f15-5f0f09526639	447	7	11	0
1a319682-f55e-4e0b-8476-48a0bea6c265	366	0	193	109
1a391468-fbf3-451a-b88e-a257a26d047f	0	3698	0	509
1a4633c4-72a0-4e30-8c4c-345e04337627	375	11	127	136
1a5bf97e-3d49-4d3f-b385-ffa7a295be9c	457	0	37	0
1a841850-fca0-48ab-8c78-db0bd5a64435	315	126	285	194
1ac15380-04a2-42dd-8ade-28556a570e80	254	2216	1318	0
1ac54c6e-a1e4-4f3b-b4a5-cdb327e0dca6	341	224	253	128
1aff91a6-1b0f-4575-8f4b-4e064a50b886	246	353	393	209
1b06afe2-c623-11e3-bf01-24c6515278c0	380	125	125	79
1b0fe1d5-b286-4f49-ae92-94d9c6db9657	371	0	112	84
1b1780d5-06da-40ee-9e15-02631a68027b	312	0	197	158
1b7838c9-c685-41c3-b184-a2e40c7c4dc7	458	16	17	0
1b8fe07d-859c-4d91-ade1-6b2bcb5774ce	411	91	82	51
1bb2bdb7-8a89-4e7d-903d-03a6f8018efb	265	376	77	349
1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	50	443	786	602
1bbb522d-e224-4b3f-9e10-3a47d06b2b05	448	7	0	0
1bbfe6f2-ad19-4d29-895b-973f5a91c707	236	0	618	275
1bd47e40-d708-4ca2-b4b3-eb8d996c916b	458	4	18	0
1bd74f92-47f6-427e-af6f-299c3a7fe023	460	11	0	0
1bdfaa8a-1b7e-4251-b135-ce5e4568371b	457	7	30	1
1be81ade-7ad6-4e7e-90d0-f986b3fb0a25	425	0	90	23
1be8fa2c-8fea-4e8c-90db-c04d9fcdbf49	228	394	374	243
1bea3a72-3b73-4072-a6bb-96a90119d3ac	347	32	0	74
1c00925b-7328-4db0-b930-04aab2d80719	309	332	194	144
1c0e384f-7254-4afe-93c0-b3fc6c6a7894	198	737	427	244
1c10ab52-01a3-11e4-8395-af1f6b7ba88c	402	0	48	61
1c188bf5-2c99-4eb4-a774-59c75d53e643	37	3874	2744	0
1c1c6494-c623-11e3-bf01-24c6515278c0	439	1	60	17
1c28e44a-6e6c-44ed-b58a-e3262c0e6759	310	0	569	136
1c300960-e51c-4477-8fdd-026c7e545dc4	449	7	0	0
1c3df485-8e75-4378-87f6-c6463a520624	264	0	285	281
1c9fbe26-1447-4335-aaab-06d6bb3e2741	307	271	87	238
1cb25b72-3726-4f12-9e22-f5c7e4b05681	416	34	32	75
1cd0acf2-3116-4dfa-a063-0a435b9f6da3	159	1992	548	161
1d0617e8-2725-4411-b50f-e46ea1d43242	410	0	113	51
1d1eeba2-4d7b-4380-b0b6-26d246bc4158	433	0	41	11
1d2d355a-8409-4c8a-9f07-ac62885e228d	13	2145	0	632
1d325d84-a3a0-4802-9842-76cb21cecb1c	444	38	88	0
1d4a091d-fe65-49c0-8810-5a95243b108a	323	144	207	152
1d6c9181-a02f-4c35-85b3-65dc5808f50e	373	0	85	85
1d91f9c7-67ba-4606-9f0a-01ec6fc08262	280	0	143	378
1d97ba51-d981-4986-9f71-c2b6cb9961c3	448	7	0	0
1daefc49-5248-4948-87ce-0ec19a248ef9	281	353	0	324
1db83e80-bdf7-4d8d-8008-bd8406d641fc	350	70	143	179
1dbdbb2c-c623-11e3-bf01-24c6515278c0	319	265	0	256
1dc9e7fd-fc62-4b32-9619-4e02a266a385	92	1121	601	315
1dd96495-5f83-4d36-96cf-b77cd0cbbfda	460	8	0	0
