Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	222	9	33	68	97	168	0	0	213	44	36	39	50	28	13
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	226	30	32	40	94	172	0	0	163	9	26	19	40	23	9
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	15	231	193	194	0	146	388	1	25	23	38	116	0	2	121
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	63	142	114	446	64	94	625	117	118	149	0	279	0	6	252
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	80	163	151	404	57	93	516	106	92	67	0	192	0	5	195
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	182	24	134	182	84	170	41	0	94	42	43	35	44	53	19
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	125	28	223	248	49	191	74	3	45	86	105	3	33	35	55
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	144	56	156	193	131	167	51	0	68	29	32	26	29	57	63
0bfebf9f-c779-e57d-e050-11ac0d487827	109	184	203	254	159	24	537	71	35	70	0	238	0	7	266
0bfebf9f-c77d-e57d-e050-11ac0d487827	0	61	729	1233	15	0	286	0	89	212	286	365	0	128	60
0bfebf9f-c77f-e57d-e050-11ac0d487827	27	0	109	306	283	214	179	296	436	171	0	157	0	50	319
0bfebf9f-c781-e57d-e050-11ac0d487827	175	67	201	143	86	109	43	0	104	76	80	9	29	40	44
0bfebf9f-c783-e57d-e050-11ac0d487827	124	61	173	188	89	172	50	0	123	38	85	43	42	45	52
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	52	123	122	415	55	150	557	116	143	60	0	209	0	12	218
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	99	139	192	395	71	85	527	75	86	57	0	204	0	8	190
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	63	70	248	218	113	215	38	0	54	46	65	40	35	62	46
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	426	0	0	0	0	0	0	0	0	0	29	0	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	281	215	194	674	56	0	67	193	160	0	0	38	0	34
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	54	129	289	211	362	153	19	249	89	68	5	64	47	85	34
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	424	9	5	0	0	7	4	0	0	0	32	0	0	0	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	372	44	0	0	0	33	16	0	19	0	28	0	0	0	1
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	115	301	5	0	0	38	149	7	310	0	62	110	0	5	0
0cd60b96-eb2d-4687-9709-d1455ec45de7	143	95	65	71	82	188	7	45	29	15	24	0	13	42	46
0cdbabf2-c623-11e3-bf01-24c6515278c0	241	97	27	31	108	115	17	0	19	44	10	0	9	24	13
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	404	9	0	0	0	17	0	6	0	0	31	0	0	0	1
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	234	0	76	79	157	189	0	34	0	0	0	5	48	6	1
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	219	605	206	519	0	34	31	71	166	13	208	0	12	123
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	294	66	14	17	9	97	44	0	0	0	21	0	0	14	6
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	363	40	0	17	11	43	28	5	17	15	15	0	2	0	3
0d569bd5-418d-4d72-87ca-8e14668c2119	335	52	7	32	0	48	19	0	0	0	39	2	0	0	3
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	321	23	49	0	0	78	105	0	6	0	13	0	15	0	5
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	207	83	9	71	46	176	0	31	32	8	0	5	41	30	4
0dd39eca-c623-11e3-bf01-24c6515278c0	240	83	0	0	0	136	65	0	4	2	17	5	2	0	6
0e1e628b-823a-4861-aa95-bed2fada7349	439	6	0	0	0	0	5	1	0	0	24	0	0	0	0
0e54cea2-d568-4a33-b9db-b698844e6ad9	209	0	77	0	20	185	82	31	125	7	0	0	39	65	0
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	121	84	171	35	163	196	0	227	39	32	54	0	18	60	18
0e6ca8dc-0f31-4675-95b1-5920576daeff	335	1	28	30	22	98	37	8	7	3	17	0	5	9	12
0e7ac212-0469-4f17-9432-205ab1831257	280	55	3	19	36	130	0	0	0	0	0	1	14	16	9
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	302	68	0	0	0	81	44	0	0	0	31	6	0	0	1
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	51	171	51	6	260	231	24	46	0	0	0	111	95	0	23
0ead45d8-d785-4404-8319-2ef951e02e03	0	103	520	78	774	56	6	10	415	214	60	316	82	65	30
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	44	278	0	12	0	8	147	0	824	0	101	176	0	0	14
0ed63d84-d3fe-4289-9255-35f4a03b703b	437	10	0	8	0	0	0	0	0	0	26	0	1	0	0
0eeafcd6-c623-11e3-bf01-24c6515278c0	237	104	25	4	1	120	40	0	10	0	32	20	4	0	16
0ef92ff8-829f-425a-91d8-c594b6e22a2b	54	156	15	82	181	248	28	73	95	4	74	80	34	5	17
0efb6e20-236d-4640-9373-6fc03e67d090	428	1	0	0	0	0	0	0	0	0	27	0	0	0	0
0efee3f3-313b-44eb-b3b0-af975a1ded82	313	17	16	32	8	89	83	24	34	53	1	0	0	57	2
0f53e757-1823-409f-a0ea-249270728e15	418	0	0	266	187	0	0	47	0	0	3	48	0	0	3
0f6b355e-3898-4be6-be97-da0c3840a4ed	148	137	0	31	120	195	0	1	48	55	0	19	5	7	3
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	85	55	81	20	59	251	36	193	66	34	4	0	66	127	17
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	360	60	26	8	0	29	34	0	11	2	27	0	0	0	0
0fbd94b1-bb34-4620-841b-861a0b5e0c12	207	104	59	119	104	111	8	91	0	71	0	22	0	58	31
0fc63b79-7fff-441d-88fc-922d53c787ab	61	55	0	0	223	312	2	272	0	17	0	0	0	199	15
10136472-c623-11e3-bf01-24c6515278c0	441	0	0	0	0	0	8	2	0	0	23	0	0	0	0
1021b60d-f7b2-43b0-b2cc-f282d619d533	0	200	479	765	147	0	607	0	118	9	62	302	103	53	79
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	0	338	95	362	17	102	162	20	55	27	95	0	22	0	2
108749d2-5c62-4ef1-92df-aec6941ba53b	375	62	0	0	0	33	44	0	0	7	1	4	0	0	0
108b67d4-5d66-46da-8675-6acae643b76f	280	135	0	10	0	50	84	4	45	0	24	12	0	7	0
10ad692b-4c3d-42de-9b5e-4968441388b3	300	66	4	16	0	85	57	0	28	0	20	3	1	0	5
10bb1a92-901e-4a14-80f4-5e88f997754b	264	29	53	92	44	150	27	0	11	0	21	12	0	26	12
10cb8ac6-c622-11e3-bf01-24c6515278c0	147	104	11	50	79	217	3	0	30	30	19	16	0	12	14
10d15b7a-16d1-4953-aaef-f193ffa97f42	241	73	20	34	115	131	9	0	0	15	0	55	19	15	19
10db2142-c623-11e3-bf01-24c6515278c0	319	10	26	19	53	96	0	2	0	0	0	0	6	88	3
110b5f05-ded7-45ec-b0f6-a941c92d77dd	0	0	712	632	836	0	370	373	263	501	136	108	16	0	471
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	387	49	0	9	0	13	13	0	2	0	35	1	0	0	2
11473a98-d953-45f9-abf5-709b68a4bae8	269	12	8	0	0	165	34	4	8	0	29	0	0	2	0
1157a548-6770-4c89-a84c-bcf6f0e96ea8	360	33	2	0	2	47	17	0	10	0	32	6	0	0	0
1168944c-5451-4a18-8758-88bf5723bdd9	87	110	52	5	0	276	101	0	8	3	47	9	2	0	1
1193a9c4-5aab-4cd7-a690-60c96bd1172d	398	4	0	0	0	30	8	0	11	2	25	0	0	0	6
11ae45fb-05f6-425a-9295-d50d13407006	426	0	0	0	0	0	0	0	0	0	29	0	0	0	0
120f01d1-8884-4aca-a1cb-36b207b2aa3a	55	358	41	294	46	0	623	24	191	0	36	323	0	0	38
122bf0a9-8052-49da-a9d7-0e5de9ab7032	387	48	0	0	0	19	25	0	0	0	28	0	0	0	0
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	109	177	60	37	104	173	13	0	22	33	36	32	29	0	11
124d5b04-4588-44c3-9c00-61e064cf1bdb	124	113	37	75	52	206	62	74	47	17	51	0	20	12	12
126ee433-d345-4cac-882a-c91831a24690	86	314	3	73	0	68	186	7	198	0	29	3	0	0	2
127b0f7d-d24e-48b7-ac25-d3f14a43952d	0	327	200	107	0	91	192	0	0	16	86	180	0	3	22
12874085-a596-41ae-b4cd-817cb1ebb278	6	298	4	608	544	135	8	40	0	0	0	31	58	57	9
1292e13b-d7c6-447b-a227-9a8113215580	0	144	403	150	216	181	37	0	0	21	62	135	43	54	32
129459c1-38be-45da-bb87-18848c97c544	189	107	148	80	2	108	196	4	26	0	33	0	10	23	0
1295947c-c623-11e3-bf01-24c6515278c0	386	29	0	0	0	32	13	1	6	1	32	0	0	0	6
129d2c6c-6688-4b29-bfa7-8df3fe77b25a	426	0	0	0	0	1	0	0	0	0	34	0	0	0	0
129de5b2-d9b0-4762-9ef8-72d98231fb50	41	293	8	203	10	146	169	26	26	22	31	12	25	28	8
12ae2ba1-9484-47fe-8a3f-bba94a6abe0c	434	0	0	11	0	9	0	0	0	5	0	0	7	6	1
12d7121a-0345-4808-a819-09d6e3227bd5	400	0	0	0	43	44	0	0	0	0	0	0	10	2	2
12f038e1-00af-4c64-a2e0-9e63323492ef	141	20	101	185	220	184	86	108	140	111	32	14	0	135	16
12f1ae2f-2666-45be-9742-f502d212373d	228	123	0	24	0	109	41	0	24	21	35	16	0	0	1
