Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC
0bfd1043-816e-e3e4-e050-11ac0c4860c5	16	0	35	1174	766	181	0	20	114	88	0	0	223	404	73	9	3	31	42	57	128	43	39	0	40	25	31	62	20
0bfd1043-8170-e3e4-e050-11ac0c4860c5	25	0	262	146	151	118	155	35	103	33	64	0	24	136	40	0	15	23	9	34	10	38	8	20	14	11	19	19	18
0bfd1043-8172-e3e4-e050-11ac0c4860c5	21	50	170	71	96	127	197	65	104	26	52	4	22	86	47	0	0	20	17	10	49	5	8	9	10	13	31	25	4
0bfd1043-8173-e3e4-e050-11ac0c4860c5	27	34	217	42	125	151	161	48	134	22	52	10	19	74	55	0	16	20	12	10	37	5	8	9	11	18	32	31	9
0bfd1043-8175-e3e4-e050-11ac0c4860c5	12	46	209	50	126	169	166	53	126	16	37	12	20	70	32	0	0	21	12	7	45	8	9	10	14	7	36	21	6
0bfd1043-8177-e3e4-e050-11ac0c4860c5	181	135	45	45	56	25	41	0	0	49	0	0	27	24	4	8	9	0	5	27	0	13	4	0	2	2	0	0	2
0bfd1043-817c-e3e4-e050-11ac0c4860c5	12	116	177	312	140	60	74	26	0	166	45	1	63	69	29	35	0	10	21	36	83	9	10	0	1	6	0	0	2
0bfd1043-817e-e3e4-e050-11ac0c4860c5	24	0	246	212	160	14	165	0	2	221	186	0	77	49	41	18	54	8	60	8	30	9	10	0	6	6	0	17	5
0bfd1043-8180-e3e4-e050-11ac0c4860c5	0	0	125	601	749	37	0	0	95	178	469	0	205	393	0	39	113	60	37	34	86	44	34	7	37	39	10	20	19
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0	0	207	502	595	76	0	0	74	127	361	0	163	336	0	29	25	67	42	24	70	43	25	4	23	39	19	12	12
0bfd1043-8183-e3e4-e050-11ac0c4860c5	52	0	203	200	183	8	168	0	6	181	137	0	71	61	19	22	56	18	57	0	27	7	9	0	4	8	0	15	3
0bfd1043-8187-e3e4-e050-11ac0c4860c5	5	0	140	1122	595	51	0	0	54	64	0	0	231	381	0	33	32	36	41	39	42	42	31	5	28	24	20	63	12
0bfd1043-8189-e3e4-e050-11ac0c4860c5	82	168	80	117	142	96	65	0	51	34	26	0	35	82	25	0	21	18	24	4	8	1	36	0	16	9	0	5	9
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	19	52	180	52	180	148	164	16	120	21	65	11	22	83	39	0	0	18	10	6	53	18	9	10	10	6	31	29	10
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	67	113	93	94	83	23	166	0	0	134	47	0	44	13	11	38	69	11	5	16	8	0	7	0	2	1	8	6	3
0bfd1068-3fca-a95b-e050-11ac0c4860c3	208	107	61	25	40	27	47	2	0	50	0	0	23	18	2	12	3	0	5	28	0	1	4	0	2	2	0	0	2
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	175	102	49	165	61	101	61	15	37	64	33	37	31	54	48	0	42	30	33	26	0	75	0	0	1	2	0	0	1
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	21	110	166	346	130	136	50	70	49	176	81	0	54	84	119	22	23	11	29	52	137	3	17	0	26	5	0	0	1
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	24	89	87	59	222	98	122	117	199	21	0	294	2	7	49	0	29	15	49	32	103	20	13	4	20	6	0	45	10
