MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y
CNCP[3]	1.3354549555089079e-08	1.6817926962175989e-09	9.79811365482419e-07	4.5623799240956946e-06	0.00157908482352494	0.033161949305795135	0.0002378065479966196	0.12068296942813163	6.650175648843515e-06	0.003715309064422456	0.021127620818662648	0.00016685461739058383	0.007691956838163776	0.000999213551151783	0.0017683845827227884	0.013035245084476515	1.9998071708778046e-05	0.0002848103908422672	0.0003955803585952822	8.709799149187348e-05	6.76149964169781e-05	5.363283465612767e-05	0.013335194295524268	0.00019999255316804465	0.00018126212310107804
CNCP[4]	1.2762730301929538e-07	6.690941015574658e-08	8.081043034735558e-10	2.899649871324106e-08	1.8036940900856278e-08	0.01511142100323923	1.8581929619898638e-07	0.058228042144328356	1.01317944256607e-09	0.001310801513893125	0.03278191422112286	7.61543688298616e-05	0.0006334451732345769	2.2308088887257327e-09	5.002508298161956e-06	0.004378163725040025	4.203895392974451e-47	3.1790533682851674e-07	5.3892827054369264e-08	3.737952056326321e-08	6.249800557043292e-05	2.0566773244468095e-05	4.330651464130142e-05	3.2302134599149957e-06	6.643411338025373e-07
CNCP[>4 & <=8]	1.3400548034780968e-07	6.633493037477844e-08	1.2154822304211191e-08	0.0	8.005270046851365e-10	0.00039712702526069343	2.5030964696526326e-08	0.06089880865067244	1.207100375211212e-10	0.0011052525897748988	0.10108922630548477	3.878937633317036e-09	6.319793502575166e-05	2.254998520356821e-08	9.538833225519738e-09	0.0011327714252410458	9.145517196884612e-09	7.196366622719274e-08	3.722971086972393e-09	1.0757468658084691e-08	4.683366675806155e-08	2.709543181823211e-08	3.1089226126823634e-09	3.410286932847839e-08	2.2245082220706537e-09
CNCP[>8]	2.1380226105316425e-07	1.5756443405123833e-07	1.6219433346620349e-07	2.802596928649634e-47	0.0	0.0	2.553869356658467e-08	1.9486364952747692e-08	7.91482897364304e-07	2.0361561500759072e-08	0.10157782442867756	1.0667874077547332e-07	3.590798082161485e-10	1.3064950954433385e-08	1.1237895517268725e-07	3.906855218360761e-05	2.912589991410641e-09	0.0	4.874635806118022e-09	8.284327890351051e-09	7.406157180867012e-09	4.862740752287209e-08	2.8353682435140205e-05	1.9218012816679675e-08	3.456173885751923e-08
OsCN[0]	0.027845431970487326	0.0009742831822793621	3.73975420370698e-05	0.010631819081655065	0.02992989219359044	0.0747357534385119	0.010580345196084149	0.0060703778453719505	0.002055229530815309	0.002581323272897862	0.1627560768648982	0.03850830801244735	0.014249210726295607	0.009803063035952712	0.00325015541981252	0.483873664556304	0.002484446195402883	0.018107232995213468	0.0026578045349176837	0.0037340955531269472	0.005199295289991428	0.011624286449879801	0.0018316523865649014	0.04846682830416366	0.02236572126932769
OsCN[1]	7.973608990994307e-06	0.015897024327132386	0.05281344743445516	0.007947156207519583	0.0258321494422853	0.03383852523518726	0.0043394917686237445	0.11337274372577667	1.298294373555109e-06	0.05344406070653349	0.01924512518569827	0.006051339868973855	0.027444237834927634	0.03780761800473613	0.031199535661144192	0.008674006629905069	0.01696747392412728	0.0006424517123378209	0.007623722464551223	0.026287833511870817	0.018117508480208926	0.0134910038022982	0.04051233421312645	0.010568438791963999	0.0057726833378046695
OsCN[2]	2.1820157303231725e-09	0.000656919099856168	4.590845047683978e-05	0.007966637011268176	0.011505661056144163	0.00904531080101151	0.010109080290621932	0.0001122768314962741	0.0006123462231926169	0.0009956623197649606	0.004312837353936629	0.00013685084974637718	0.005992495753139338	0.004914403859861523	0.008894840872380882	0.0031556707088724514	0.0019122518148083146	0.0037139192591092753	0.0023576970519167298	0.0014114364267015878	0.001156316672028197	0.002701400376015499	0.004153076786897145	0.004669542515476906	0.006470263259847968
OsCN[3]	1.937459467304947e-09	0.00017542245972435922	0.012184510457948362	0.008643275707509019	0.006767426420701668	0.0019877618385362437	0.0008216022081705887	0.0021717929193982854	0.0006918955304247199	0.013700586860068142	4.922137619360001e-05	0.00046709585660337894	0.005216752378455567	0.001536792692178366	0.013627414104994386	0.000325466267909178	0.0008346058126831259	0.00021763435564594146	0.0005631176902022825	0.0016544892346178875	0.0019875079119546515	0.00035017374106209706	0.002175138441502895	0.000513680168178432	0.001127369943794747
OsCN[4]	2.7764395299423113e-08	5.2336545215325715e-05	4.5295275922399016e-05	0.004704573725757655	0.0039279129123315215	0.0008582217977163964	0.00139978406165028	2.8774922247976066e-05	0.00119111711328582	9.295458454289474e-05	2.553655358497053e-06	5.5095368983870686e-05	0.0012349401437677444	0.0011257389316008926	0.0029242934720241465	0.0002219590308561692	0.0001551110414220602	0.0005827882595759524	0.0007148285567831189	0.000843177630304126	0.00014178968907799572	0.00027460319108740805	0.0005164272629564159	0.0003915169363244786	0.0004286339980874354
OsCN[>4 & <=10]	9.378884099353613e-09	0.0	0.0018997767926181885	0.014147543179569766	0.00534501216768831	0.00017006275200401433	0.00012156956363469362	3.939052985515445e-06	0.005219580609858668	0.003959552370727124	0.0	6.518139658904687e-05	0.0014845249758698741	0.0010302914727538237	0.007688134821364656	0.0	9.422055911272764e-05	1.401298464324817e-47	2.304528550212126e-09	5.408418364822864e-05	0.00019989736378192902	5.022272375754255e-09	0.0013248500173403954	1.401298464324817e-47	0.000113918115166598
OsCN[>10]	4.367723670739565e-08	0.0	0.0	0.0036011850598151795	0.0002984182534591362	0.0	6.437627320110551e-11	0.0	0.002067260048393109	5.273353918937573e-06	0.0	2.6012840272926497e-08	6.3318701177283994e-06	0.00014497193057717796	0.0011394715651113073	4.1774011805273403e-10	4.664772655814886e-05	2.3030367356113856e-06	1.705513204797171e-07	3.283963305875659e-05	1.0896245376414981e-05	5.243152259026828e-09	0.00019740956415887468	1.954631301259724e-09	1.9665362779051065e-05
SS[<=2]	6.227427707727884e-08	8.67284324996831e-07	0.0	7.991209995225314e-05	5.421356036094949e-08	0.0016772053291788324	0.00013693115391037126	0.0013263793289661407	1.290002759901654e-06	0.0005116870405618101	0.0014422308333450929	0.0001251292384830549	0.00019856206737594917	0.0005251800138785256	0.004919976247056184	0.00020092752669462755	0.0001647961715934798	3.133525653993274e-05	0.0001222653288937181	0.00023449880180123728	0.000486564618677221	0.0001697635768954342	0.00020197769236801833	0.0008249844080694402	0.00035011985123809095
SS[>2 & <=3]	1.6513883604574176e-07	1.3106213456737237e-08	4.289374599298265e-44	5.294098671320136e-05	0.0	0.00036196469318154455	0.0009461673349142074	0.01833653713749289	3.970506696759912e-09	0.004754646334512973	0.002030147323748679	0.0011578736638997711	6.680101849454445e-09	0.004181455834284975	0.03278988461881182	2.004538975313608e-05	0.0007632072269916535	8.39011394418776e-06	0.0009977402538061141	0.0014911029280278855	2.907642567606672e-08	6.255422068967675e-05	0.0008138021673119056	0.001808520181701283	0.0005073523236064187
SS[>3 & <=4]	1.1993234736329405e-07	2.9387542577197223e-09	7.630852678630618e-09	0.00031830973968510534	7.046932625769387e-06	0.0006092820857156767	0.004111418435520022	0.06737591291813266	6.708929763831861e-05	0.019856450950362793	0.0005082712031541802	0.004846514463424683	1.8556200120656286e-06	0.017871501452181745	0.15630102541488897	2.0691330519184702e-07	0.0032070587155243403	0.00019207879804184817	0.004046131555433447	0.0063336948179758676	6.696660921079456e-07	0.0008733826450020388	0.0034002860707096263	0.00686736447799376	1.544858375268632e-07
SS[>4 & <=5]	4.86898109205991e-09	1.401298464324817e-47	0.0035829968114757093	0.08283335061743856	5.457860570459161e-05	0.005491032719031636	0.00010183297844285817	0.002484279299951311	0.0019107006602001775	0.04887629378656211	0.052459219060838225	1.1679274881082335e-06	0.01355123242573427	0.005053476076532206	0.28966373071074486	0.0005514946154735867	0.010813706644061512	0.004425635938829024	3.2804912507344853e-07	0.004262964354154519	0.011317024007990579	0.020617263071094495	0.08767088416086154	0.007000878228772972	2.427689089756768e-09
SS[>5 & <=6]	4.488533297212355e-16	0.004595512234445777	0.004266570365330153	0.24107318088412286	0.021838225293904542	0.058964217096470255	0.0006821709879113769	0.005601417568352414	0.0517729566509981	0.02637217743205838	0.1154672934487462	0.00123032272439624	0.07992583931043655	0.008625043463870946	0.005578654101118446	0.02221287518924374	0.0021267508063465357	0.008489555779118429	0.002169593842887707	0.0001947140706294448	0.0017750481476332424	0.005202092732295114	0.007086524497717619	0.01764155536064738	0.017332561523835145
SS[>6 & <=7]	0.0	0.0006532091600820422	0.004154215268790722	0.0620675630904357	0.2621779927611351	0.03476894318126247	0.04042997495588109	0.1059464613441378	0.010416261705819494	0.05832800016971305	0.02813021536450833	0.0015077060461044622	0.06476882560367471	0.013247292834837837	0.0029255447536706922	0.026851990628056228	0.007894755071189275	0.011100977690220474	0.03429825850225999	0.008324179222416989	0.007529913950538691	0.010202330578127885	0.012064494098849536	0.01029796991544572	0.005759342256078525
SS[>7 & <=8]	0.01670527081936598	0.0652680080384016	0.15083364058285953	0.0015401009247167962	0.05560746700502932	0.004482557536359056	0.12107453836128115	0.04370961514933921	0.008022216076877831	0.04064745901436709	0.000557950727609663	0.028681186235516007	0.016052947151762413	0.022614162910645406	0.004348532958035703	0.008013415389716474	0.032641421046573665	0.023604814209247708	0.02785832132329233	0.05248449060683468	0.017257161604466272	0.029609762939508073	0.006247122400206247	0.009619442849361804	0.013010002532741587
