Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W
0bfebf9f-c77d-e57d-e050-11ac0d487827	0	0	0	731	756	38	0	207	0	531	0	464	225	218	45	15	65	42	0	43	12	72	0
0bfebf9f-c77f-e57d-e050-11ac0d487827	50	34	124	115	258	158	299	157	343	88	146	164	32	240	13	53	32	174	2	55	1	9	0
0bfebf9f-c781-e57d-e050-11ac0d487827	138	84	107	162	81	60	4	42	72	105	38	42	53	80	0	45	17	25	14	0	29	8	0
0bfebf9f-c783-e57d-e050-11ac0d487827	89	85	152	152	114	56	11	47	81	120	0	68	58	107	0	43	21	28	18	0	27	8	0
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	28	107	159	199	474	0	107	371	71	0	66	155	51	166	41	37	24	120	0	39	17	0	0
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	81	122	97	243	447	0	79	353	27	0	55	157	45	168	52	33	27	104	0	28	10	0	0
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	41	109	165	215	119	58	0	43	11	145	0	69	41	148	0	51	18	25	11	18	17	9	0
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	416	0	0	0	0	1	9	0	0	0	0	0	25	0	0	1	0	0	3	0	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	283	21	119	181	436	40	0	221	27	199	0	12	104	49	70	15	25	18	60	18	7	7
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	69	178	50	215	135	262	223	29	87	131	35	57	19	111	15	29	51	20	20	19	43	18	42
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	410	10	0	7	0	1	9	3	0	7	0	0	26	0	0	1	0	0	3	4	0	0	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	344	35	51	5	0	3	9	12	17	2	0	0	27	0	2	1	0	2	3	0	0	0	0
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	88	241	84	32	38	3	5	87	272	0	0	78	78	0	9	44	5	2	0	6	22	8	0
0cd60b96-eb2d-4687-9709-d1455ec45de7	90	90	207	62	43	56	54	13	22	62	0	0	22	49	2	6	24	26	10	13	8	6	0
0cdbabf2-c623-11e3-bf01-24c6515278c0	188	64	165	35	30	56	0	12	5	0	58	2	21	65	8	0	1	8	0	1	7	14	15
