Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
0e54cea2-d568-4a33-b9db-b698844e6ad9	201	0	0	74	29	190	82	27	110	11	0	17	10	0	1	65	23
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	106	84	43	150	156	206	0	219	30	41	0	60	46	0	16	58	3
0e6ca8dc-0f31-4675-95b1-5920576daeff	327	2	34	24	25	100	32	6	5	3	0	3	21	9	11	6	4
0e7ac212-0469-4f17-9432-205ab1831257	280	67	14	5	16	101	5	0	0	0	1	61	0	2	6	0	5
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	296	65	3	0	0	84	36	1	0	0	14	0	32	0	2	0	0
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	41	185	0	47	258	228	17	38	0	0	125	19	0	0	22	0	89
0ead45d8-d785-4404-8319-2ef951e02e03	0	120	21	456	683	36	30	14	391	161	309	248	67	76	24	55	38
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	31	247	0	35	0	23	106	0	773	0	193	0	160	0	22	14	0
0ed63d84-d3fe-4289-9255-35f4a03b703b	431	8	9	0	0	0	0	1	0	1	0	1	26	2	0	0	3
0eeafcd6-c623-11e3-bf01-24c6515278c0	230	106	5	22	0	113	35	2	9	0	22	25	28	0	14	0	2
0ef92ff8-829f-425a-91d8-c594b6e22a2b	54	168	60	11	157	218	35	75	94	0	85	78	45	12	14	13	27
0efb6e20-236d-4640-9373-6fc03e67d090	425	0	0	0	0	0	0	3	0	0	0	0	28	0	0	0	0
0efee3f3-313b-44eb-b3b0-af975a1ded82	300	25	32	12	16	83	74	14	23	46	0	0	12	89	3	0	0
0f53e757-1823-409f-a0ea-249270728e15	403	0	234	0	173	0	11	36	0	0	41	0	0	51	5	17	1
0f6b355e-3898-4be6-be97-da0c3840a4ed	149	157	24	0	94	159	6	5	48	52	12	54	0	5	1	3	0
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	77	55	41	69	65	257	26	183	54	45	0	45	18	0	17	107	35
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	355	59	11	26	0	29	29	0	10	1	5	3	28	0	0	1	0
0fbd94b1-bb34-4620-841b-861a0b5e0c12	194	112	98	54	102	109	3	82	0	59	50	21	14	0	29	58	0
0fc63b79-7fff-441d-88fc-922d53c787ab	47	73	0	0	248	309	4	240	0	13	0	0	0	0	16	206	0
10136472-c623-11e3-bf01-24c6515278c0	435	0	0	0	0	1	8	5	0	0	0	0	25	0	0	0	0
1021b60d-f7b2-43b0-b2cc-f282d619d533	0	183	744	469	124	0	513	0	110	0	335	103	93	90	69	23	68
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	0	334	364	101	16	80	143	10	48	31	7	12	80	43	3	5	20
108749d2-5c62-4ef1-92df-aec6941ba53b	362	65	0	1	0	30	42	0	0	5	3	0	10	5	0	0	3
108b67d4-5d66-46da-8675-6acae643b76f	266	132	19	0	0	53	71	4	42	0	14	0	32	12	0	6	0
10ad692b-4c3d-42de-9b5e-4968441388b3	295	66	19	8	0	82	48	0	25	0	8	1	25	0	4	0	4
10bb1a92-901e-4a14-80f4-5e88f997754b	263	43	81	46	20	122	35	0	13	0	8	60	9	23	10	8	0
10cb8ac6-c622-11e3-bf01-24c6515278c0	144	115	40	9	62	194	8	0	28	29	16	49	17	5	12	4	0
10d15b7a-16d1-4953-aaef-f193ffa97f42	246	92	15	21	86	91	18	0	0	0	55	98	0	8	14	0	2
10db2142-c623-11e3-bf01-24c6515278c0	315	25	24	23	43	79	0	5	0	0	0	47	0	0	1	60	0
110b5f05-ded7-45ec-b0f6-a941c92d77dd	0	0	563	704	889	0	315	274	218	450	289	0	145	84	421	42	24
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	381	47	11	0	0	13	10	0	4	0	6	1	33	1	2	0	2
11473a98-d953-45f9-abf5-709b68a4bae8	261	10	0	7	2	169	30	4	7	0	0	2	27	12	0	0	0
1157a548-6770-4c89-a84c-bcf6f0e96ea8	355	31	0	4	5	48	14	0	9	0	9	1	30	0	0	0	3
1168944c-5451-4a18-8758-88bf5723bdd9	78	109	10	48	0	281	84	0	8	0	21	14	39	0	1	5	3
1193a9c4-5aab-4cd7-a690-60c96bd1172d	393	1	2	0	0	32	7	0	11	5	0	0	26	0	7	0	0
