MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L
CN[0]	1.16E-06	4.40E-05	4.25E-07	0.00E+00	2.28E-03	4.86E-04	0.00E+00	1.19E-06	9.96E-06	2.29E-03	4.10E-03	1.46E-05
CN[1]	4.50E-05	3.50E-04	1.41E-04	2.80E-47	6.71E-04	1.59E-03	7.51E-05	6.91E-04	1.40E-47	1.35E-03	1.99E-03	3.55E-04
CN[2]	1.68E-03	1.76E-03	5.11E-04	3.64E-05	1.39E-02	1.85E-03	2.42E-02	2.97E-03	4.47E-04	3.82E-03	1.21E-02	4.64E-04
CN[3]	7.04E-06	2.50E-03	2.20E-03	4.22E-04	2.74E-03	0.00E+00	5.02E-03	3.58E-03	3.75E-04	3.34E-03	2.99E-03	2.66E-03
CN[4]	2.62E-11	9.96E-04	1.28E-03	2.56E-03	1.69E-03	0.00E+00	4.99E-03	2.99E-03	3.79E-04	3.32E-03	4.90E-03	4.37E-03
CN[>4 & <=8]	9.49E-10	1.66E-04	1.40E-47	2.33E-03	1.63E-04	0.00E+00	1.76E-03	2.93E-03	1.41E-03	3.02E-03	1.94E-03	2.75E-03
CN[>8]	3.49E-09	1.73E-09	5.34E-09	4.14E-05	7.95E-09	6.24E-10	5.44E-05	3.44E-08	1.39E-03	2.96E-04	7.32E-04	1.70E-04
CNCP[0]	1.19E-04	3.94E-06	0.00E+00	0.00E+00	2.03E-05	2.03E-09	1.15E-10	0.00E+00	0.00E+00	3.79E-05	2.94E-05	1.73E-10
CNCP[1]	0.00E+00	3.82E-03	1.46E-03	1.72E-03	4.14E-03	1.59E-03	1.06E-02	6.12E-03	1.22E-04	3.43E-03	4.19E-03	5.26E-03
CNCP[2]	2.28E-09	1.25E-03	4.65E-04	3.33E-03	6.03E-03	2.62E-04	2.21E-03	1.75E-03	7.51E-04	5.43E-03	1.12E-02	4.74E-03
CNCP[3]	2.13E-09	5.90E-04	1.39E-09	8.04E-04	6.99E-04	1.25E-08	7.95E-04	4.31E-04	6.45E-04	2.66E-03	1.33E-03	1.36E-03
CNCP[4]	4.06E-09	4.52E-05	6.04E-09	3.23E-04	2.86E-04	0.00E+00	3.61E-04	1.11E-04	4.62E-04	1.43E-03	6.21E-04	5.38E-04
