Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	269	58	17	116	24	10	33	0	0	0	4	0	23	6	17	5	0	0	0
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	348	37	0	44	17	9	25	5	15	14	8	0	16	15	1	2	0	0	3
0d569bd5-418d-4d72-87ca-8e14668c2119	318	40	14	71	28	0	12	0	0	0	1	7	38	0	3	4	0	1	0
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	285	8	58	114	17	0	75	0	0	4	0	8	27	0	0	4	0	15	0
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	174	79	23	186	55	0	5	51	3	31	107	0	0	0	2	0	5	19	3
0dd39eca-c623-11e3-bf01-24c6515278c0	198	66	9	179	7	0	49	0	1	4	0	9	24	0	2	5	0	7	0
0e1e628b-823a-4861-aa95-bed2fada7349	434	6	0	0	0	0	6	4	0	0	0	0	24	1	0	0	0	0	0
0e54cea2-d568-4a33-b9db-b698844e6ad9	165	0	82	213	3	29	79	29	7	105	21	0	9	23	5	1	57	12	0
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	70	79	138	222	34	155	2	204	38	29	41	0	46	70	5	14	51	19	1
0e6ca8dc-0f31-4675-95b1-5920576daeff	308	0	25	109	32	23	30	6	0	6	5	1	20	26	8	9	4	0	0
0e7ac212-0469-4f17-9432-205ab1831257	259	51	12	138	12	15	4	0	0	0	58	2	0	0	3	5	1	3	0
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	273	55	0	114	10	0	32	3	0	0	0	10	34	0	0	2	0	0	0
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	0	155	64	288	4	255	12	43	0	0	31	117	0	0	7	19	0	74	0
0ead45d8-d785-4404-8319-2ef951e02e03	0	150	433	14	5	678	32	0	163	347	234	267	74	102	57	24	47	21	81
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	23	261	55	57	7	0	91	0	0	722	0	156	175	0	15	21	21	0	0
0ed63d84-d3fe-4289-9255-35f4a03b703b	431	9	0	0	8	0	1	1	1	0	2	0	25	0	2	0	0	2	0
0eeafcd6-c623-11e3-bf01-24c6515278c0	206	94	29	144	7	0	32	4	0	9	22	18	28	4	1	11	1	3	0
0ef92ff8-829f-425a-91d8-c594b6e22a2b	23	154	17	247	69	166	34	62	0	83	32	49	40	39	2	10	9	15	95
0efb6e20-236d-4640-9373-6fc03e67d090	425	1	0	0	0	0	0	3	0	0	0	0	27	0	0	0	0	0	0
0efee3f3-313b-44eb-b3b0-af975a1ded82	282	15	18	112	47	18	66	20	46	27	0	0	13	0	62	3	0	0	0
0f53e757-1823-409f-a0ea-249270728e15	372	0	0	0	209	144	9	22	0	0	0	0	0	0	0	0	0	0	216
0f6b355e-3898-4be6-be97-da0c3840a4ed	114	133	0	204	19	95	6	0	51	42	39	10	0	24	4	2	4	3	19
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	16	40	81	322	47	64	24	186	44	54	52	0	20	0	17	14	91	22	0
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	346	55	25	34	10	0	27	0	2	10	0	3	27	17	0	0	1	0	0
0fbd94b1-bb34-4620-841b-861a0b5e0c12	165	88	59	154	93	101	6	75	65	0	7	32	9	0	0	24	48	0	59
0fc63b79-7fff-441d-88fc-922d53c787ab	0	46	0	365	23	250	3	227	40	0	0	2	0	0	1	17	182	0	0
