MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC	SBS80AD
CNCP[2]	2.4568157677151704e-08	3.3508558279368742e-09	9.555899168844917e-08	0.0008083943171141073	0.0007476325404939388	0.4012017781287432	0.05867067066036988	1.1422997545196267e-07	0.01612447889380455	1.2611686178923354e-45	9.330390325246185e-07	0.002309838880346433	0.0011445687814228122	0.001327553477457073	0.022817848889548128	0.08084754013674472	0.22320361425624924	0.0024552435158518016	1.3497567395859874e-06	9.323778443019737e-07	3.7942888828726703e-07	3.0000710794411133e-05	0.0009875454358910928	3.0182478695905955e-07	0.0022158785937050674	0.0002641311566890181	0.00012303577631541884	1.2808946848963386e-07	0.0006065629284813668	1.1000799034377451e-07
CNCP[3]	2.464775527677432e-08	1.2360257528598595e-09	7.032031817288954e-08	4.179352072242182e-05	0.00048786954561819585	0.005990913279676988	0.030005887461329622	5.223131305342577e-05	0.14593899205327035	5.6147308100662486e-08	3.230596547609821e-08	0.01426890669582022	0.0004013325823369662	0.0001811971516644917	0.01824363985599865	0.007640127405152839	0.0017028028245388515	0.0016808586112631474	2.4396913715918346e-07	4.3789994018194845e-08	0.00024927143404966044	6.575094403577065e-07	0.0007761153245036612	1.0341236929889419e-07	0.022113498133689406	5.571656153406934e-06	4.630949483441782e-07	1.442257564576721e-07	0.0019448793768223993	4.270637045124204e-05
CNCP[4]	1.4441335766335328e-07	8.090312410228585e-08	1.7334685509240445e-09	5.064598965986988e-07	1.401298464324817e-47	0.00010752690432823898	0.014480321281309329	4.3219735026411855e-08	0.06976050656288862	0.0	1.5300528430906013e-08	0.03139050604775548	0.00039045798349150116	2.802596928649634e-47	0.005790332782231502	0.0011426799398694242	0.000753597071995351	5.4088935712570674e-08	4.203895392974451e-47	4.065523967256013e-08	1.2999434147786815e-07	1.4012984643248171e-46	0.0005069721603552324	9.717760306671152e-08	5.2891109415043044e-06	1.6990750054901583e-06	3.4897062676009226e-06	7.860143257687468e-07	0.001249374789521296	1.1260912276052082e-05
CNCP[>4 & <=8]	1.346149961101162e-07	9.036647259819119e-08	1.8186679007214934e-08	3.3144791800054917e-10	5.605193857299268e-47	1.4894563094003388e-09	0.00021644786836048978	3.911059800687511e-08	0.0688091955613345	1.4551911675653174e-09	1.0914150294638603e-09	0.10679435923695564	0.0005247302405581777	1.401298464324817e-47	0.0009129814866717378	0.001195084089859364	0.0005901404063388593	7.820010949899369e-10	7.938954240671592e-09	2.222762113923693e-08	7.006492321624086e-47	2.1141895345522242e-10	0.0011399981095149769	4.111809193574345e-08	1.5023719868167973e-09	2.3313429764471037e-08	3.405395290201341e-09	1.5295486264221835e-08	0.0015614271774410415	9.831916329972046e-09
CNCP[>8]	2.7971375506419263e-07	1.9479940479016912e-07	2.106333559415141e-06	3.045869689799474e-10	7.069117202718189e-10	2.601178721306496e-09	1.827625624173379e-09	2.065809178830591e-08	7.777511052964315e-09	4.997894552971615e-07	1.163039955331957e-07	0.1135444273718371	7.87460677997842e-09	5.143466328405566e-09	4.39327942913792e-09	3.1864025055672536e-08	5.766823414465883e-08	4.879785038269801e-09	3.129926042788611e-09	1.401298464324817e-47	1.4012984643248171e-46	2.2867891402711395e-09	0.003047763891815407	7.006492321624086e-47	0.00022692344814943645	9.80908925027372e-47	8.129651973831642e-09	2.751825469715641e-09	3.082577689994537e-08	4.088106627460952e-05
OsCN[0]	0.032290199460244216	0.0005427096545418567	1.0930128021733574e-45	0.007111943874751015	0.023647762389802783	0.007008744542166021	0.0725199423590675	0.008394202685807399	0.008947028513670865	0.001187462762463872	0.030730954293372425	0.15406792733818292	0.006061181443967838	0.013905736384710043	0.6170880120061338	0.0027733432515060492	0.0011480205979088965	0.0070559112643397	0.0043008758090938405	0.01614124506723701	0.012502039177233542	0.0027709280965973514	0.02369452519658238	0.006001974069353694	0.004185827283999105	0.008189915034070065	0.011859222765384689	0.010642300612307214	0.041682811497104455	0.0015543759705554966
OsCN[1]	9.684159158496187e-07	0.010507954926178939	0.053501178016886114	0.006780889726761686	0.021446523522026837	0.03560756990220398	0.03408020197442965	0.002904503503232263	0.11072696089744567	1.1210387714598537e-46	0.008230131649644363	0.015868067923001945	0.00468640665640125	0.05138047812274426	0.01151431017089635	0.08805145463673397	0.052922124825418	0.018184780846349894	0.011862172982533505	9.818685473874212e-05	0.025438575301086556	0.004239179597290747	0.005727887054090399	0.01639646204270623	0.04104751084931195	0.010930392250023322	0.007769291502970816	0.0028028576506767423	0.006566354739452933	0.001502292084041983
OsCN[2]	3.259827670021309e-09	3.661033078294906e-05	1.1052798945456744e-05	0.0065606944815954195	0.015023265064228327	0.007595906559727155	0.009130323816207238	0.008445270536467432	0.0001026008534245193	0.00012247536311633668	1.4608907707192032e-05	0.00417721715348307	0.010461741591861938	0.004658499575383338	0.004488936453040182	0.0032075104716204807	0.00043105296506837473	0.0010535186086781322	0.002460685284293813	0.0033496506740799416	0.0028298684707064327	0.002037672574499538	0.006241577095570392	0.0014006919445546373	0.004022004483940691	0.002040500923072219	0.0011893515422343626	0.0057983212072900865	0.004619338597749984	0.000692892650831709
OsCN[3]	6.12469853944475e-09	5.625559541710068e-05	0.011947431950829923	0.009094009043183178	0.005750539615433192	0.007768562477140222	0.000927554808441515	0.00018880167248426006	0.0010188185039442033	0.00040836025219511004	0.0004153137925844286	9.29804629413411e-05	0.012113550339417998	0.0005857485612125402	0.0004052029017503875	0.011995679387255223	0.012691163716081064	0.00189935804577658	0.0005261400685886472	0.00015418189814109197	0.0012608883920643165	0.00039463194105792353	0.0016901003372254372	0.0022723123700711767	0.0017959550483101338	0.0001125411122211517	0.0005281411425676197	0.001675630785068165	5.124200188674877e-05	0.0003510799837022205
OsCN[4]	3.898619469921982e-08	1.2071813486613791e-08	1.872627850389108e-05	0.005151472298894078	0.00438123291809461	0.0018558125870185905	0.0006287334907824516	0.0008863967059483004	7.006492321624086e-47	0.0007416003725962476	5.952699249007765e-06	1.0245379962725564e-06	0.003412110064527951	0.0008664411606110889	0.00024299485058392633	0.00048513941579969355	6.184800178743899e-05	0.00013769500015769153	8.954865450505167e-05	0.0005774508571201409	0.001114941999335304	0.0005062716134989387	0.0002700671910861274	2.6127303935936653e-05	0.0004609191699569237	0.00034580879399527477	0.0006343470163537291	0.0014070697345596273	0.0004069272716151664	0.0005453316223429283
OsCN[>4 & <=10]	1.8070810323678188e-08	3.230308820434402e-10	0.0018428326179189014	0.015322070031066346	0.004580612429126631	0.002329923499374777	1.4629389625042677e-05	1.5745219693516595e-35	8.284033126685486e-34	0.003072530226289931	8.113649761402403e-05	0.0	0.012045280394959263	0.0009363280025422682	2.645667684930686e-10	0.0005001109570398654	0.003678345318621723	0.00014305982454352773	0.0	0.0	2.4074179381727846e-06	0.00029321109876036646	1.4208495980412294e-05	1.2525068747351043e-05	0.0012808065149511093	1.6262163990177215e-06	7.553636294233001e-10	2.802596928649634e-47	0.0	0.00012306778691709041
OsCN[>10]	7.31331799741497e-08	2.374667049109824e-09	0.0	0.003754075974575244	0.00023010392069409136	1.667857295251096e-06	0.0	3.033934953822204e-09	0.0	0.0014606146007965749	2.3639134756336945e-08	0.0	0.002316155673995297	6.749572583718333e-05	4.373514883582175e-09	3.542650688359572e-09	2.083775762748985e-06	6.629985449535525e-10	5.285161250867531e-09	2.086733445594291e-08	0.0	4.510825499892235e-05	0.0	3.112607808333223e-06	7.621410201963386e-05	0.0	4.4264187729948776e-05	2.344262466067448e-06	0.0	1.4921050414806042e-06
