Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
0efee3f3-313b-44eb-b3b0-af975a1ded82	310	19	0	14	91	19	85	0	28	23	53	87	0	0
0f53e757-1823-409f-a0ea-249270728e15	394	0	196	0	14	205	0	131	32	0	0	0	0	0
0f6b355e-3898-4be6-be97-da0c3840a4ed	141	0	130	134	216	13	0	34	0	36	49	15	0	1
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	78	92	72	44	281	7	30	0	182	56	49	49	133	21
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	367	24	0	68	24	18	37	0	0	17	2	0	0	0
0fbd94b1-bb34-4620-841b-861a0b5e0c12	201	83	113	85	141	83	0	79	82	0	62	0	24	32
0fc63b79-7fff-441d-88fc-922d53c787ab	45	0	250	47	360	0	0	4	253	0	49	0	125	23
10136472-c623-11e3-bf01-24c6515278c0	447	0	0	1	0	0	15	0	5	6	0	0	0	0
1021b60d-f7b2-43b0-b2cc-f282d619d533	0	534	191	201	0	655	596	449	0	41	0	115	60	82
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	0	118	41	320	135	388	162	29	15	34	26	0	29	0
108749d2-5c62-4ef1-92df-aec6941ba53b	374	0	0	61	36	0	44	3	0	0	8	0	0	0
108b67d4-5d66-46da-8675-6acae643b76f	282	0	0	141	49	11	86	17	6	50	0	0	7	2
10ad692b-4c3d-42de-9b5e-4968441388b3	305	5	0	67	86	19	59	5	0	32	0	0	1	6
10bb1a92-901e-4a14-80f4-5e88f997754b	262	62	35	18	158	69	34	31	0	3	0	61	0	8
10cb8ac6-c622-11e3-bf01-24c6515278c0	146	16	80	101	227	41	5	25	0	26	27	24	0	14
10d15b7a-16d1-4953-aaef-f193ffa97f42	239	26	98	47	148	0	16	67	0	0	13	77	0	15
10db2142-c623-11e3-bf01-24c6515278c0	319	37	49	0	112	0	0	15	0	0	0	48	42	0
110b5f05-ded7-45ec-b0f6-a941c92d77dd	0	782	999	0	0	513	376	287	281	156	469	0	0	555
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	399	0	0	59	1	24	14	0	0	11	0	0	0	3
11473a98-d953-45f9-abf5-709b68a4bae8	271	5	0	22	159	0	42	0	7	16	0	9	0	0
1157a548-6770-4c89-a84c-bcf6f0e96ea8	367	0	0	43	39	13	21	0	4	20	0	2	0	0
1168944c-5451-4a18-8758-88bf5723bdd9	95	44	0	124	277	14	111	8	0	19	2	2	5	0
1193a9c4-5aab-4cd7-a690-60c96bd1172d	407	0	0	11	22	6	10	0	0	18	1	0	0	9
11ae45fb-05f6-425a-9295-d50d13407006	435	0	0	0	0	7	2	0	3	8	0	0	0	0
120f01d1-8884-4aca-a1cb-36b207b2aa3a	56	58	97	339	19	202	626	419	7	162	0	0	0	44
122bf0a9-8052-49da-a9d7-0e5de9ab7032	396	0	0	60	8	6	30	0	2	5	0	0	0	0
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	112	57	104	178	183	43	16	32	1	23	33	35	9	10
124d5b04-4588-44c3-9c00-61e064cf1bdb	124	36	69	119	216	90	67	0	71	47	18	0	30	15
126ee433-d345-4cac-882a-c91831a24690	90	18	0	297	81	57	187	23	9	196	0	0	5	6
127b0f7d-d24e-48b7-ac25-d3f14a43952d	0	194	0	348	98	121	196	200	0	16	12	19	0	20
12874085-a596-41ae-b4cd-817cb1ebb278	0	78	563	162	248	492	0	173	0	0	0	15	67	0
1292e13b-d7c6-447b-a227-9a8113215580	0	402	203	148	196	131	42	173	0	0	8	133	14	28
129459c1-38be-45da-bb87-18848c97c544	185	147	13	111	122	88	207	0	2	20	0	0	31	0
1295947c-c623-11e3-bf01-24c6515278c0	394	0	0	41	21	2	19	0	4	14	0	2	0	9
129d2c6c-6688-4b29-bfa7-8df3fe77b25a	433	0	0	4	0	13	2	0	0	9	0	0	0	0
129de5b2-d9b0-4762-9ef8-72d98231fb50	37	29	31	282	176	181	168	51	19	1	14	14	38	7
12ae2ba1-9484-47fe-8a3f-bba94a6abe0c	429	3	0	0	11	6	0	0	1	0	2	17	4	0
12d7121a-0345-4808-a819-09d6e3227bd5	402	0	45	0	49	0	0	0	0	0	0	4	1	0
12f038e1-00af-4c64-a2e0-9e63323492ef	132	119	224	26	193	120	96	75	103	107	87	194	0	17
12f1ae2f-2666-45be-9742-f502d212373d	236	0	0	128	108	35	42	17	0	31	22	2	0	1
131332b2-ff51-4bd7-a626-aff2ecea6135	329	22	0	116	20	9	110	0	0	0	0	0	4	3
