MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
SS[>8]	0.03595785453915596	0.0008806867410398666	0.0	2.6691196119976723e-09	2.2792580711694653e-10	0.00862918283236496	0.0	0.0	5.530322422231393e-10	1.7814271302540873e-09	8.499205645939867e-09	1.0872375906245679e-08	6.76535665755651e-08	2.0341735762485767e-09	1.401298464324817e-47
NC50[<=2]	0.0012597171252127738	2.053683623159941e-10	0.0	2.8492798749280012e-08	2.2650737729890126e-10	7.703629345545693e-11	2.8298488552458423e-09	7.621391215213435e-05	1.7014853526120533e-10	0.0	1.2810395768081407e-06	4.86396134327105e-06	1.0916634892126353e-05	2.2949531544647074e-06	7.040825379833748e-08
NC50[3]	0.0005757684394484386	6.1967549117980526e-06	0.0	2.728924287085377e-06	2.408151340205222e-07	0.0002721807155514355	3.947185797605224e-05	9.174340938443493e-05	4.568406097860134e-11	0.0	9.23454260203016e-06	1.2341032358227366e-05	9.309339226319935e-06	1.223936042151763e-06	1.149805271879245e-05
NC50[4]	0.00015963931946316734	0.00021593472731183284	0.0	3.1566087454848457e-06	1.2193004204164026e-06	0.0009759264698368498	0.00018477507437275164	2.3732498461583874e-05	2.7801905162050387e-06	0.0	3.3350162266287954e-06	8.212879743041413e-06	4.676528533309465e-06	2.6706733224273193e-05	0.0002629650816612639
NC50[5]	2.101929247420031e-05	0.0006102584418840706	1.2657879694732976e-06	2.634755061130534e-06	1.3065082384358107e-05	0.0008458963420707732	8.785101535124795e-11	1.8247009384353418e-07	1.8286952677368794e-05	3.2635006132863964e-06	3.3573978008405446e-06	1.4009745418572805e-05	8.902679081792542e-06	1.5687029378685934e-05	6.553112325491383e-07
NC50[6]	5.14203504531352e-06	0.0006399922115087975	0.0002018265364824856	1.2229545367490325e-05	1.8374136550736163e-05	0.0003771850212689287	2.6672792863280393e-11	0.0	7.626184772789201e-05	0.00013302639951366047	8.545998834499357e-05	3.247133325296803e-05	5.2394422182260316e-05	0.0001450801938884183	1.8833939493743124e-05
NC50[7]	8.405044145440855e-06	4.195893822581454e-05	0.00034828778509108814	4.021757566662565e-05	1.2863390652455565e-05	7.873966737676597e-05	1.0091266455747315e-06	0.0	0.00018120255703706788	0.00023048693203807423	7.376670276338427e-05	2.4888028856366874e-05	5.178948369575665e-05	0.00015078881770023145	1.2932139091859084e-05
NC50[>7]	2.5479060432189727e-05	2.2829728132478524e-06	6.139392944447764e-05	2.475078070689474e-06	8.56643678215363e-11	1.747556379179116e-05	3.614207466267061e-06	0.0	5.285120082479722e-05	9.003593298984924e-05	3.5813835774556324e-05	3.234435571357608e-06	1.1064931357323005e-05	2.1098194826545403e-05	6.688933992782253e-07
BoChr[1]	2.0655017032633615e-06	0.0037037530908636995	0.015287738765150181	0.011650192066308103	0.014235765549799098	0.0021660577843787363	0.002255423999958863	0.0036248878720536214	0.0015369046657109208	0.01656222809318039	0.014600161624387908	0.03552269049467476	0.01532438543625176	0.12172811145913556	0.008780323326551053
BoChr[2]	4.4911104621112586e-05	0.008028112083015949	0.018306889929808678	0.008594320570555283	0.02422860383288935	1.1703732889145613e-05	0.004466722825018223	0.0	0.004029639482287167	0.004231837000697851	0.005781784264254384	0.00966199975810024	0.00134419191890629	0.009981175259454175	0.0025654265511548145
BoChr[3]	0.0001079365264969434	0.005365188020049345	0.012445558274630458	0.006923802643832459	0.02543900672688588	0.0003622180286834009	0.007283904734931639	0.00015673689052846383	0.00875220640853513	0.003826756706184824	0.023092461014466322	0.02181779717328027	0.0016121921374929115	0.0034875065030064434	0.0036602657136972994
BoChr[4]	1.1521872385067411e-08	0.001697553593882759	0.0069285551690610354	0.0011492599713830388	0.008085730674793012	0.0009050157377791379	0.005782561245772228	0.002393671564568649	0.00648351643118076	0.005470421289646765	0.011339730037143454	0.019360902865737443	0.003070199911016971	0.012246999589260668	0.039231075020385336
BoChr[5]	1.0204672831082284e-06	0.0011648444843326458	0.009602912841364742	0.0058283998360575155	0.0034333616694493686	0.0022971527202918195	0.0021116086273265467	0.007040622657987443	0.00623986231782169	0.0012178951308214891	0.02148208352726215	0.0672962447427767	0.0012347539795185903	0.01445580531093583	0.0018990832863346441
BoChr[6]	1.5729912396340583e-05	0.0027815004657037435	0.006446877836767897	0.008147736815950619	0.007805091174009515	0.0011831451972167883	0.005740129849296771	0.002140597991868123	0.0071030892947771904	0.00655129586935495	0.03941170907132175	0.0020168401189064157	0.024859309281915074	0.05794560204206192	0.00815634591158407
