MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
CNCP[2]	8.257814426704258e-09	1.430332832796921e-07	0.0015072437402572048	0.0032952625229497913	0.13697822316154343	4.731027360096059e-08	0.0002800630917772651	0.0045191609026588205	0.30622113406658175	0.021298170206475273	0.007556726015872925	0.05080482868559983	0.009338373076010124	0.020597004255562865	0.019157695450735562	0.01698659546008345	0.033971640205747916
CNCP[3]	1.683920486383883e-08	2.2081252666339424e-08	1.8103731008523028e-07	0.0054233615986697715	0.03595616477607678	3.00003542719196e-08	1.6049549091334825e-06	0.02778475365135819	0.004159899673649328	0.09115287196877489	0.0012924942932367855	0.0004899082388354259	0.0025999739808817684	0.0017766207621816932	0.0012097201786826872	0.0007346276332964407	0.002622206206782991
CNCP[4]	1.0793366430839058e-07	4.444812873316551e-09	1.401298464324817e-47	0.000341900919447653	0.014682997578072446	5.804385252883293e-08	1.401298464324817e-47	0.03230040522292257	0.00149979148697577	0.04386904187206369	0.00017617898615448268	4.6630262276607936e-05	0.0009217774859529726	0.0002743776870909187	0.00019503158168760138	6.440104278681247e-05	0.000833325581795679
CNCP[>4 & <=8]	1.1137528247218142e-07	8.132496348012275e-09	2.1897786513079218e-35	5.7179655325505506e-05	0.0013790931211815538	2.246102634662073e-08	0.0	0.08920496672391892	0.0010947231798827594	0.047783594839274884	9.215468171674957e-08	3.4727270659118404e-09	0.00018661562259278953	4.347819401047559e-05	5.1923711831096675e-05	1.7183948699539542e-07	0.00024899952370059707
CNCP[>8]	2.3243915897808165e-07	2.8887295657753496e-07	3.7407068886885497e-10	6.818587650059271e-10	0.0	5.8787686327878026e-08	1.0656439755951652e-07	0.08295731589198113	8.728956542580767e-09	1.3622259488244027e-06	2.4558126315583906e-07	1.892571930284248e-09	1.1909737699822287e-07	1.0608083517182899e-06	0.0	2.171908924708532e-08	1.6563103059752392e-07
OsCN[0]	0.043623967162488314	0.00019392523914575578	0.011368144692605726	0.05318186567585712	0.09716188942082227	0.003930805683441886	0.0024430866303398443	0.18028989054262637	0.007025351506599691	0.018921434590266836	0.008340682694376381	0.005469509992981791	0.07083943458411948	0.021447439457498566	0.04517775396371779	0.04265605025756365	0.07836306627374143
OsCN[1]	0.00014741852453994397	0.05024236971512437	0.015107988496674806	0.028883939248044044	0.034246074650436636	0.0034780183618446925	4.0005785413086416e-05	0.02428874544799328	0.04738380944356322	0.10056471168994903	0.021301783353555946	0.0224814682180295	0.018799945390399423	0.0279244844452478	0.005695981439684271	0.023240621278237148	0.0192146348915103
OsCN[2]	1.4737645814832945e-09	0.00013244609581306577	0.0067942978884093464	0.011150540231610648	0.007933545476116705	0.004749233553884551	0.0017090666433187528	0.004189269642811268	0.002682815392063276	0.0003409520796049037	0.008361240435770015	0.0025221214286472106	0.0024243871556475227	0.005143740204039205	0.00600867750674297	0.005458517024087259	0.007143646760814621
OsCN[3]	3.848120755378659e-10	0.007974184944760054	0.008344184743473307	0.004828594638966024	0.0025717490565148183	0.0	0.0025036628592505395	4.685249907197436e-05	0.013239861018955707	0.003996981929610684	0.011190246787155047	0.00143017401538998	0.0017426435277845798	0.0023975702062260648	0.0003718272916329193	0.0016768580925823784	0.0009573196110588356
OsCN[4]	2.2039438842824666e-08	5.391500017140061e-06	0.0042193190174293705	0.0025587934975919778	0.0010707269026897848	0.00046201118076055536	0.0022499856386235706	2.5214482593582945e-06	0.0004343452923785662	2.5292799691669642e-05	0.002580251581639459	0.0005158950140253183	0.0004700891813071832	0.0005458482086214644	0.0007762607464064786	0.000492682789551922	0.0005933824409294175
OsCN[>4 & <=10]	1.2667624275097823e-08	0.00028806374802891764	0.012217882015975193	0.0017222606626455673	0.0002827067562589036	0.0	0.007914114474495654	1.401298464324817e-47	0.004887911294354126	5.779881059424952e-05	0.006955787612496351	0.0003402635359992345	0.00022742060672427235	0.000891649991535817	0.00012688517395787358	0.0004426070087356493	0.0002733247505966574
OsCN[>10]	4.3028000575873196e-08	0.0	0.002406741816084832	4.276487176850807e-06	1.966949635634485e-06	5.3321862480970596e-11	0.002495519112223974	1.4097791436906703e-06	2.044211063766177e-05	3.640588275288792e-11	0.0007931060862918837	3.815404287710322e-07	7.530782981524098e-07	0.00022609063936218643	2.4650955367526707e-05	2.0139715852565134e-05	5.407982913311571e-05
SS[<=2]	8.007149439492878e-08	1.737394721885721e-06	0.00014012996578571801	0.0	0.0012501213846371683	1.0246121552768273e-05	1.960192583396747e-06	0.001417564742732793	7.321163197048008e-05	0.002227585078321681	0.004114287628940474	9.568297794430691e-05	4.7484211144138965e-05	0.0003318343269975799	0.00012762715957906722	0.0002843880309796987	0.0007743686140512988
