Samples	SBS80A	SBS80B	SBS80C
1bea3a72-3b73-4072-a6bb-96a90119d3ac	14	62	377
1c00925b-7328-4db0-b930-04aab2d80719	253	410	316
1c0e384f-7254-4afe-93c0-b3fc6c6a7894	519	885	202
1c10ab52-01a3-11e4-8395-af1f6b7ba88c	93	0	418
1c188bf5-2c99-4eb4-a774-59c75d53e643	2299	4356	0
1c1c6494-c623-11e3-bf01-24c6515278c0	77	7	433
1c28e44a-6e6c-44ed-b58a-e3262c0e6759	744	0	271
1c300960-e51c-4477-8fdd-026c7e545dc4	0	5	451
1c3df485-8e75-4378-87f6-c6463a520624	526	0	304
1c9fbe26-1447-4335-aaab-06d6bb3e2741	200	346	357
1cb25b72-3726-4f12-9e22-f5c7e4b05681	71	52	434
1cd0acf2-3116-4dfa-a063-0a435b9f6da3	533	2198	129
1d0617e8-2725-4411-b50f-e46ea1d43242	165	0	409
1d1eeba2-4d7b-4380-b0b6-26d246bc4158	54	0	431
1d2d355a-8409-4c8a-9f07-ac62885e228d	115	2526	149
1d325d84-a3a0-4802-9842-76cb21cecb1c	81	58	431
1d4a091d-fe65-49c0-8810-5a95243b108a	291	204	331
1d6c9181-a02f-4c35-85b3-65dc5808f50e	155	0	388
1d91f9c7-67ba-4606-9f0a-01ec6fc08262	403	30	368
1d97ba51-d981-4986-9f71-c2b6cb9961c3	0	3	452
1daefc49-5248-4948-87ce-0ec19a248ef9	74	506	378
1db83e80-bdf7-4d8d-8008-bd8406d641fc	260	102	380
1dbdbb2c-c623-11e3-bf01-24c6515278c0	94	355	391
1dc9e7fd-fc62-4b32-9619-4e02a266a385	721	1312	96
1dd96495-5f83-4d36-96cf-b77cd0cbbfda	0	4	464
1de83d45-8492-4b83-9055-a9f43b823f91	46	5	448
1df8939c-c622-11e3-bf01-24c6515278c0	191	330	359
1e046ab9-fa4c-4c15-8d78-ed0048c80ebf	0	70	456
1e181878-c640-4e91-a620-3fc4b08a4de1	519	0	290
1e27cc8a-5394-4958-9af6-5ece1fe24516	740	0	299
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	523	1669	183
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	0	77	436
1ea7e01c-c623-11e3-bf01-24c6515278c0	251	54	385
1eb1bc62-18f6-4bcb-a16d-aa6a91914031	78	0	454
1eb37b28-fac2-477a-88b3-e04291a07926	41	172	404
1eb62abc-7928-405b-84cc-f091ca5347b2	308	701	279
1f04210a-0c2e-4bb8-ac8e-86198e5f1d34	299	0	361
1f2a8889-4374-4037-bb56-0f20733380e3	1136	1672	24
1f5e70c1-c5de-49e7-941a-46e11a4f4416	18	171	412
1f81a1b0-8089-44ef-87b5-b3359a407ad2	379	570	292
1f8d8720-30ca-4057-90f7-a34b8383eafe	17	5	445
1f967003-82d6-4932-a445-24fc25723594	241	1001	245
1fd69adc-c623-11e3-bf01-24c6515278c0	111	0	424
1fdab6a6-7346-4229-aa8d-5dbd258f0c60	254	742	309
1ff155dd-deb4-44e0-b3a2-e4875b618435	188	0	394
1fff8b62-534b-4d71-a65f-e5f93b8b50ed	505	285	287
2009e5e7-1796-445b-8677-46b3804fe0bf	59	0	445
2045c788-9ea8-4ea5-a5e3-65fc16a62adb	955	807	123
207f8a42-5b05-4876-b0ae-ebfaeea27844	911	1705	24
209a9b10-7129-48fe-a899-d14ba17efe6f	32	56	440
20d1b88b-3ff6-4201-a748-6a993500c652	60	55	448
20e02396-e676-412d-9724-44a428919cdb	346	1563	207
2102558b-87b0-447b-bb9a-e4ae9df8b75e	562	0	296
2109e1d4-c623-11e3-bf01-24c6515278c0	308	119	369
21205681-a0c7-48d0-81d4-0b7ef31158cf	547	491	256
2182ce2c-5941-4b65-9419-fc7966d5e6d5	177	0	422
21b1a37f-e91e-4ce1-83cf-bb89b8d0fb35	94	403	386
21e7e43e-f9b1-4351-a6d9-b9cd06d15f68	35	0	442
221d0290-c623-11e3-bf01-24c6515278c0	63	173	407
22578b9f-78dc-464c-9bb9-382f033283d0	58	3	445
228fb827-c05e-494c-8a21-e1d925e100cb	122	159	403
2290b078-6a5b-4c83-9dfb-b525bbf14e4e	819	768	170
22cd3875-a123-4f0d-8cd1-371958208ad6	25	20	442
22d67778-61fc-4f15-95b8-7e7c6cc7112b	127	24	421
22edd867-dcd6-42b5-92bb-025ceb84b106	469	783	268
230f53ef-be3f-495e-9b95-b0f670bd6908	16	47	441
2316ee90-c623-11e3-bf01-24c6515278c0	48	11	433
2321c412-7730-4694-bc8f-199d7e51a7f8	0	22	452
232b7754-b3c3-4530-9d24-3af40d9b2816	111	0	418
2399ab13-abfa-480e-9fda-7947edc420be	362	0	351
23cc70c4-b744-4fa0-a0de-b25c0fdf212f	37	16	439
23d77176-dfed-4bee-ac96-9934377d8d81	348	1667	120
23d86395-9e20-4cf9-bf7e-f76544a1f772	119	161	403
23eb72d8-c622-11e3-bf01-24c6515278c0	92	0	427
23fa90d5-b273-4e2c-9c88-68aa57b60e97	0	5	451
241abdfd-e6de-4830-a233-4bbc5f622725	406	13	358
2425a532-f562-423a-88f5-228642f53875	31	25	452
2439ec74-1713-4d47-a5d9-886f69dddcb6	346	19	361
2468e58c-c623-11e3-bf01-24c6515278c0	264	577	297
248fd0ed-f14c-40b8-9f14-e9c7adf16e22	0	3	452
