Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
0bfebf9f-c779-e57d-e050-11ac0d487827	115	176	254	325	13	144	397	80	45	56	74	216	16	14	0	25	30	168	0	9
0bfebf9f-c77d-e57d-e050-11ac0d487827	15	15	777	941	0	0	195	0	120	41	413	425	246	0	37	74	46	49	0	70
0bfebf9f-c77f-e57d-e050-11ac0d487827	45	18	126	251	162	226	183	309	133	376	198	166	20	48	0	33	45	194	0	14
0bfebf9f-c781-e57d-e050-11ac0d487827	160	69	193	105	112	64	43	9	59	85	110	33	58	18	1	23	2	29	19	14
0bfebf9f-c783-e57d-e050-11ac0d487827	107	72	181	137	167	68	49	18	7	101	135	65	63	15	2	28	0	33	23	14
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	56	107	170	455	131	14	407	130	46	134	113	182	35	65	0	22	33	132	0	0
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	105	121	224	422	68	21	386	95	35	89	118	181	30	75	0	26	17	115	0	0
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	57	84	259	148	188	72	42	0	17	43	178	61	44	0	15	21	24	29	17	14
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	424	0	0	0	0	0	0	4	0	0	0	0	27	0	0	0	0	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	311	154	165	2	565	0	22	174	173	59	0	9	98	18	11	86	27	30	8
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	37	167	258	136	111	324	33	232	36	68	123	68	20	21	74	63	24	23	17	23
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	417	6	8	0	10	0	3	4	0	0	0	0	28	0	0	0	4	0	1	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	357	41	1	0	44	3	14	4	0	16	0	0	28	3	0	0	0	2	0	0
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	104	278	28	15	47	1	106	12	0	267	0	90	81	44	0	7	6	3	0	13
0cd60b96-eb2d-4687-9709-d1455ec45de7	113	99	68	56	194	66	13	51	7	24	56	0	21	0	0	31	18	29	11	8
0cdbabf2-c623-11e3-bf01-24c6515278c0	222	88	35	22	122	82	14	0	47	17	47	6	18	2	9	0	2	8	0	14
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	395	5	0	0	26	2	1	10	0	0	0	0	27	0	0	0	0	2	0	0
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	203	1	75	44	173	121	4	36	0	0	48	20	0	0	94	0	0	0	8	2
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	195	508	112	0	401	36	55	123	64	216	194	44	118	0	26	21	80	0	14
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	273	59	21	23	109	11	30	0	0	0	8	2	24	0	0	17	0	5	0	0
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	346	40	0	19	41	8	24	6	14	13	9	0	18	8	7	1	3	2	0	0
0d569bd5-418d-4d72-87ca-8e14668c2119	327	42	15	26	60	0	11	0	0	0	5	8	34	0	1	3	1	3	1	0
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	295	5	62	19	105	0	69	0	0	5	0	8	26	0	0	0	0	4	17	0
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	188	89	25	51	159	1	7	53	5	31	94	0	5	4	4	2	6	0	14	5
0dd39eca-c623-11e3-bf01-24c6515278c0	205	70	8	9	164	0	46	0	2	4	0	9	23	3	0	3	2	5	7	0
0e1e628b-823a-4861-aa95-bed2fada7349	433	6	0	0	0	0	6	4	0	0	0	0	24	0	1	0	0	0	1	0
0e54cea2-d568-4a33-b9db-b698844e6ad9	176	0	87	4	203	31	75	31	8	101	26	0	16	0	4	5	6	1	18	48
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	81	70	131	34	217	149	2	205	41	31	43	0	38	79	33	2	1	14	5	42
0e6ca8dc-0f31-4675-95b1-5920576daeff	307	0	31	31	110	24	28	8	0	5	9	2	21	0	12	8	2	8	2	4
0e7ac212-0469-4f17-9432-205ab1831257	265	56	14	8	123	16	4	0	0	0	52	3	6	0	2	4	0	4	5	1
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	279	58	0	10	103	1	30	3	0	0	0	11	30	6	0	0	0	2	0	0
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	18	170	64	1	252	250	14	41	0	0	32	106	0	25	0	6	5	16	69	0
0ead45d8-d785-4404-8319-2ef951e02e03	0	109	423	0	38	645	37	22	158	353	238	259	75	170	0	60	47	23	29	43
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	36	249	40	23	31	0	93	0	0	720	0	147	168	26	0	15	14	20	0	22
0ed63d84-d3fe-4289-9255-35f4a03b703b	428	8	0	8	0	0	1	2	1	0	3	0	24	0	0	2	2	0	3	0
0eeafcd6-c623-11e3-bf01-24c6515278c0	213	97	32	4	130	0	30	5	0	8	24	19	28	0	2	1	6	10	4	0
0ef92ff8-829f-425a-91d8-c594b6e22a2b	28	160	23	66	240	160	30	69	0	81	48	51	43	18	0	1	97	8	17	6
0efb6e20-236d-4640-9373-6fc03e67d090	424	1	0	0	0	0	0	4	0	0	0	0	26	0	0	0	0	0	1	0
0efee3f3-313b-44eb-b3b0-af975a1ded82	288	18	15	51	104	19	62	18	46	26	0	0	17	0	0	62	0	3	0	0
0f53e757-1823-409f-a0ea-249270728e15	365	0	0	205	0	143	9	25	0	0	0	0	4	0	0	0	221	0	0	0
